,people_or_infrastructure,category,text,screenname
26,People: dead,Casualties and damage,Tornado Kills 89 in Missouri. http://t.co/KhJUnPE,jonathanwitte
27,People: dead,Casualties and damage," @iamjonathancook: #Prayersforjoplin  @cnnbrk: #Tornado that killed 122 in Joplin, Missouri, was EF-5 with top winds of 200+ mph htt ...",PoptartKL
28,People: dead,Casualties and damage," @pgammo: A hero is the mother in W. Springfield who as the tornado came lay on top of her child in a tub. Child lived, mother was killed",LuceStephen
29,People: dead,Casualties and damage,Missouri officials continue identifying tornado dead \n    (Reuters)\n: Reuters - Missouri officials continued ... http://yhoo.it/iUINyO,JenaSimpson1
30,People: dead,Casualties and damage, @weatherchannel: Sad news to report. 3 more people passed away recently due to injuries sustained during the #JoplinTornado. Total fa ...,angyelle
31,People: dead,Casualties and damage,"#TFM City manager says Joplin tornado death toll rises to 125, no live rescues today - AP http://y... http://bit.ly/kgHRq2 #BreakingNews",misslindadee
32,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,"Tornado will cost Joplin, MO $1-3 billion.  City's annual budget is $80 million (via ABC News) #joplin #tornado",lbstewart
33,People: dead,Casualties and damage,"Brothers Ryan, Colt Hamil Died in Piedmont, Oklahoma Tornado: Oklahoma Dead Reach 10 http://nblo.gs/imGly",maggiesnotebook
34,People: dead,Casualties and damage,"#Twilight News In: Deadly tornado kills 124, leaves 'twilight zone' in its wake http://bit.ly/jxnC6T",TwilightDesk
35,People: dead,Casualties and damage,http://ow.ly/517lw The death toll has now risen to 116.  #Joplin  #Tragic,PhillipDeems
36,Not specified (maybe people or infrastructure),Casualties and damage," @at_pitt:  @BarackObama: In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado.",molmstead3
37,Not damage-related,Casualties and damage,Check out http://www.CNN.com/impact to see what agencies are helping relief efforts in tornado-hit areas & how you can help.. #Joplin,Mwforhr
38,People: injured and dead,Casualties and damage," @CBCAlerts: 122 confirmed dead, 750 injured in Joplin, Mo. tornado . #Tornado that hit #Joplin was EF5 with winds 322 km/h.",AshaTomlinson
39,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage," @BreakingNews: Significant damage to homes, businesses after tornado touches down at Sedalia, Mo. http://bit.ly/gk6MtC",karenbkcmo
40,People: dead,Casualties and damage, @JenelleS_KVUE: (AP) -- Authorities confirm 89 dead after massive tornado hits southwest Missouri city #joplintornado,labergieberg
41,Not specified (maybe people or infrastructure),Casualties and damage," @BarackObama: In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado.",ernest_aminata
42,Not specified (maybe people or infrastructure),Casualties and damage,EFCA | Tornado Relief http://fb.me/UP2nLkPB,HersheyFree
43,People: dead,Casualties and damage,State of emergency declared in Massachusetts where tornado kills 4 people and injures dozens. @AMorningOttawa,annettegoerner
44,People: dead,Casualties and damage,Names Of 123 Killed In Joplin Tornado Released - http://goo.gl/6SH1N,Sunniinqalaab
45,Not specified (maybe people or infrastructure),Casualties and damage,US tornado toll hits new record http://bit.ly/kLb6Ri,tomwillsell
46,People: dead,Casualties and damage, @weatherchannel: Sad news to report. 3 more people passed away recently due to injuries sustained during the #JoplinTornado. Total fa ...,reinaldom
47,People: dead,Casualties and damage,"Violent Weather Kills 7 in Oklahoma, Kansas - FoxNews.com http://t.co/mS3TfJh via @foxnews",MalibuMel07
48,People: dead,Casualties and damage,Joplin police radio traffic says possibly 20 more bodied have been found near 20th and Connecticut. #joplin,KAKEnews
49,Not specified (maybe people or infrastructure),Casualties and damage," @nathanmillsent: @kappaalphaorder Please : A tornado has destroyed the town of Joplin, MO. Delta Pi had brothers lose homes and nee ...",kappaalphaorder
50,People: dead,Casualties and damage," @CrossCzech17: A tornado kills 125 innocent people in Joplin.  One week later, Westboro Baptist Church protests in Joplin.  God - you ...",felis_lupin
51,People: dead,Casualties and damage,Death toll from Joplin tornado rises to 141: officials - Reuters http://reut.rs/jw1E4Z,USNewsReport
52,People: dead,Casualties and damage,"Death toll from Joplin tornado is 134, officials say (Reuters)  http://tiny.ly/dbpi",world_news_4u
53,People: dead,Casualties and damage,"Tornado death toll rises, no more survivors found http://bit.ly/l8TGAq",Oilleader
54,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage," @TWCBreaking: Reports of minor tree damage coming in from Overland Park, KS, per emerg. mgt.   #tornado",Gayxman
55,Not specified (maybe people or infrastructure),Casualties and damage," @nytimes: Delivering the bad news of the aftermath of the tornado weighs on a Joplin, Mo., police chaplain http://nyti.ms/iTohba",waldeterossi
56,Not damage-related,Casualties and damage,#Joplin MO residents find X-rays from a hospital that was struck by a tornado 70 miles away,CarolCNN
57,People: dead,Casualties and damage, @NBCActionNews: 89 confirmed deaths in #Joplin tornado #motornados,Cort9999
58,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,Stunning  @BlairMiller9 CNN reports: X-rays from St. John's Hospital found 70 miles from #Joplin,BoHussey
59,People: dead,Casualties and damage,#usnews Missouri officials continue identifying tornado dead ,
60,People: dead,Casualties and damage," @MB_Williams MB_Williams: Tornado, storms kill 4 near Oklahoma City, officials say  http://tiny.ly/qZ3y http://bit.ly/kLPwGN",OtherMBWilliams
61,Not specified (maybe people or infrastructure),Casualties and damage, @kathygriffin Watching you good folks & rescuers in #Joplin on the news. Devastation beyond imagine. Support @RedCross #tornado relief.,3haussies
62,People: dead,Casualties and damage, @NBCActionNews: 89 confirmed deaths in #Joplin tornado #motornados,SvrStrmChsrs
63,People: dead,Casualties and damage,So sad a mom died saving her daughter yesterday during the tornado http://bit.ly/jFrSjA @GetGlue #SpringfieldMassachusetts,AshleyBoasso
64,People: dead,Casualties and damage,Photo: No More Missing After Joplin Tornado; 134 Dead Officials say they have accounted for all the people... http://tumblr.com/xg12suu0pt,realnewslive
65,People: dead,Casualties and damage,"Ã¢â‚¬Å“@Drudge_Report: Police officer helping tornado cleanup in Joplin struck by lightning, dies... http://t.co/0Iu8jFFÃ¢â‚¬Â #WTF #DontMoveToJoplin",Lexyrai
66,Not specified (maybe people or infrastructure),Casualties and damage,#usnews Joplin tornado leaves thousands with no place to call home ,
67,People: dead,Casualties and damage,Mother's heroic last act saves daughter in tornado http://bit.ly/iQie4S,RawSigBoston
68,People: dead,Casualties and damage,News-Leader: Two Joplin tornado victims die after suffering fungal infections http://dlvr.it/VhhDH,sgfnews
69,People: dead,Casualties and damage," @AdamSwenka:  @BreakingNews: Update: 116 confirmed dead in Joplin, city manager says #Joplin www.northpointchurch.tv/joplin",Debra_Walker
70,Not specified (maybe people or infrastructure),Casualties and damage,FEMA teams assess Mass. tornado damage http://bit.ly/j3fBu1,NECN
71,Not damage-related,Casualties and damage,The city of #Joplin will observe a #momentofsilence at 6:41pmE/5:41pmC/2:41pmP today. The tornado hit Joplin at that time last Sunday,MerylPageCNN
72,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,"#PrayN4t/Lords  Healing & Restoration N Joplin. Church Destroyed By Tornado, Yet t/RoofTop Cross Still Standing, Refruge N #Jesus #Christ",Gods_Lighthouse
73,Not specified (maybe people or infrastructure),Casualties and damage,Shocking before and after picture of the joplin missouri tornado devastation http://bit.ly/mgpTWV,ErwinWarmerdam
74,People: dead,Casualties and damage,"CNN Top Stories: 125 dead in Joplin: Residents of tornado-ravaged Joplin, Missouri, again found themselves huddl... http://bit.ly/jV7arS",IKeyF_Italy
75,People: dead,Casualties and damage,FOX News: Tornado Death Toll Climbs http://bit.ly/kDqkC9,BusinessScoop
76,Not specified (maybe people or infrastructure),Casualties and damage,Cannot believe the aftermath of the tornado here in western mass. The damage is devastating.,StellaQuatrano
77,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage, @nwoweather: Apartments on the East side of Chickasha that were damaged by a Tornado 5-24-11 http://yfrog.com/h0h6pesj,rustysurette
78,Not damage-related,Casualties and damage," @TIME: This dog was sucked up by a tornado, but crawled home on two broken legs | http://ti.me/kVEEDu (via @TIMENewsFeed)",TounzDC
79,People: dead,Casualties and damage," @supadupaflygirl Just stop!!! :( : @cnnbrk: Joplin, Missouri, where at least 124 died Sunday, under #tornado watch http://t.co/hEbTeMu",AllTheLostOnes
80,Not specified (maybe people or infrastructure),Casualties and damage, @kgh23: An update on the #Joplin #tornado and the #dental practices it affected in today's industry news update ... http://bit.ly/iDKN4m,1800DENTIST4DDS
81,Both people and infrastructure,Casualties and damage," @KMBZnews: Mo. tornado injures 15, damages homes in Sedalia http://bit.ly/iU3yJ6",elSicomoro
82,Not specified (maybe people or infrastructure),Casualties and damage,http://t.co/RHhCE8B via @Joplin #Tornado Tragedy: Hole in the Heart of Missouri Town,miggylikeyou
83,Not specified (maybe people or infrastructure),Casualties and damage,So I'm sitting here watching footage of this tornAdo that hit Springfield........#Tragic,OneMan_1Life
84,People: dead,Casualties and damage," @txstormchasers: WCVB-TV reporting at least 4 fatalities from Brimfield, Westfield, and Springfield, Mass. #tornado #mawx #severe",pamelaoldham
85,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,@StephenWRhodes I think only one tornado touched down and no damage other than trees down.,emileeshake
86,Not damage-related,Casualties and damage,Opening prayer at #Joplin Memorial Service.,KBIA
87,Not specified (maybe people or infrastructure),Casualties and damage,"@NBCNews: Tornado wreckage in  #Joplin, MO taken by @aaronsasson. http://instagr.am/p/EqbpK/",francisko66
88,Not specified (maybe people or infrastructure),Casualties and damage," @StormChasersKC the power of the EF5 tornado to hit Joplin, still think your safe in a car? http://twitpic.com/54h21i",anklebiter588
89,People: dead,Casualties and damage," @nytjim: #Joplin update: Officials say 1,500 people unaccounted for after #tornado. 117 confirmed deaths. http://nyti.ms/iZmvXR",samlcarr
90,People: dead,Casualties and damage, @TheTornadoAllie: SPC has upped its death toll to 151 for the Joplin MO tornado. SPC also added 1 more killer tornado in OK from May  ...,AllisonChinchar
91,Not specified (maybe people or infrastructure),Casualties and damage," @NatGeoSociety: Photos: Devastating aftermath of #Joplin, Missouri #tornado http://on.natgeo.com/iRx34h",mautij
92,Not damage-related,Casualties and damage,Springfield ma. got hit hard last night by a tornado SMH,Khollow76
93,People: dead,Casualties and damage,BREAKING: State Medical examiner's office confirms 8 fatalities in Oklahoma from last nights tornado outbreak,KRMGWeather
94,People: dead,Casualties and damage," @BreakingNews City spokeswoman in Joplin, Mo., says deathtoll from massive tornado now at least 139 people - AP",MsLesha
95,Not specified (maybe people or infrastructure),Casualties and damage," @Billyjensen: Joplin, MO before/after Tornado http://twitpic.com/522mfn via @Keith_Rob",rlycanthos
96,People: dead,Casualties and damage,#US Tuscaloosa County death toll from tornado increases to 43: After holding steady for almost... http://bit.ly/jcgV1T #Tuscaloosa #News,Regiofora_AL
97,Not damage-related,Casualties and damage,Two Joplin tornado victims die after suffering fungal infections http://dlvr.it/Vhyhs,ozarksnewsnow
98,People: dead,Casualties and damage,#usnews Officials: 134 Confirmed Dead After Joplin Tornado http://tinyurl.com/3nyqmy2,us_news247
99,Not specified (maybe people or infrastructure),Casualties and damage, @RWJF_PubHealth: Post-Tornado #Environmental #Health Risks in #Joplin: http://bit.ly/lAsTP8,CCSExperts
100,People: dead,Casualties and damage, @StephanieAbrams: Per Missouri EMA: Current #Joplintornado death toll is 30.Per Dr.Forbes: will be deadliest on record in Jasper Coun ...,TVGmediaguy
101,Not specified (maybe people or infrastructure),Casualties and damage, @AnokaCounty: US Sen Klobuchar and @SivarajahMN will be looking at tornado damage later this morning in Fridley,FridleyPatch
102,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage," @TWCBreaking: Possible #tornado damage reported near Union City, TN.  Multiple trees down, one building destroyed.",SevereAlertsNow
103,People: injured and dead,Casualties and damage," @TWCBreaking: NWS:  Path width of #Joplin, MO #tornado was 3/4 mile wide.  116 fatalities....400 injured.",oldiesmann
104,Not specified (maybe people or infrastructure),Casualties and damage, @horselady3: Brimfield Horse Impaled During Tornado Is Expected To Survive ... http://bit.ly/jA4KOQ,ladypaw65
105,People: dead,Casualties and damage," @erinedgar: A receipt from Joplin Missouri traveled 550 miles after last week's tornado to end up in Indiana. 140 dead, 160 missing.",kstannfield
106,People: dead,Casualties and damage," @emmamcgreen: Death toll for #Joplin at 117.  To help, text REDCROSS to 90999 to donate $10.  Please .  @FleurDeKat @Tom_Bergeron @ ...",LisaAJK
107,Not specified (maybe people or infrastructure),Casualties and damage,before / after shot of the Joplin tornado http://goo.gl/WypXX,crazy1eye
108,Not specified (maybe people or infrastructure),Casualties and damage," @jackassworld:  @daveenglandshit: Preston Lacy's home town, Joplin, Missouri, was destroyed a week ago by a tornado. Text JOPLIN to ...",KayleexxMarie
109,Not specified (maybe people or infrastructure),Casualties and damage,"A rare multivortex tornado swept through Joplin, Missouri on Sunday night. Keep the victims in your prayers.",LolinaLautoa
110,People: dead,Casualties and damage,DTN USA: Death toll from Joplin tornado rises to 141: officials: CHICAGO (Reuters) - The death toll from the May... http://bit.ly/jHc7E9,DTNUSA
111,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,#Joplin NORMLÃ¢â‚¬â„¢s Kelly Maddy loses #Missouri home to #tornado; please help!: Kelly's house wasÃ¢â‚¬Â¦ http://nxy.in/tn8fr,HempBuzz
112,People: dead,Casualties and damage,"Oklahoma tornado sweeps away young horse fancier's life, but strangers repl http://t.co/J5M15Ol",cdfmirok
113,Not specified (maybe people or infrastructure),Casualties and damage,"35 Devastating Photos Of The Joplin, Missouri Tornado http://bzfd.it/mpW4Ca.... and you thought you were having a bad day: think again!!",groovyhomebody
114,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,Playhouse theatre in #Joplin. You can see the chairs if you look close.  http://twitpic.com/51k7t6,borntorunnergrl
115,Not specified (maybe people or infrastructure),Casualties and damage,The tornado made the town of Etna look like a junk yard.  :( http://lockerz.com/s/105312284,CarpeDiemFlores
116,Not specified (maybe people or infrastructure),Casualties and damage," @TIME: This dog was sucked up by a tornado, but crawled home on two broken legs | http://ti.me/kVEEDu (via @TIMENewsFeed)",ALYRPAL
117,People: dead,Casualties and damage," @lgc_com: Unreal  @TWCBreaking: Now confirmed 116 dead in Joplin, MO #tornado.Single deadliest #tornado since Woodward, OK (9 Apr 1 ...",bigbodyscotty
118,Not specified (maybe people or infrastructure),Casualties and damage,"Slow recovery from tornado in Kaukauna taking toll on residents: ""When there is so much devastation, it will take more than a few wee...",HomesBusiness
119,People: injured,Casualties and damage," @TWCBreaking: We have confirmation that 2 police officers were struck by lightning in #Joplin, their conditions are unknown at this time.",JMOinKY
120,People: dead,Casualties and damage," @cnnbrk: Joplin, Missouri, where at least 124 died Sunday, under #tornado watch http://on.cnn.com/k1ZN2b",swaman85
121,People: dead,Casualties and damage,"Breaking: 89 confirmed dead in #Joplin, MO as a result of the devastating tornado that hit Sunday. #CNN has live reports from the scene",cnnmornings
122,People: dead,Casualties and damage,"rb @ditisConny: ""RB @Greenfields47: ""everybody is hurting in joplin(120 casualties) tornado""....Total is 500 Cas... Ã¢â„¢Â« http://blip.fm/~14uu79",auticomics
123,Not specified (maybe people or infrastructure),Casualties and damage,"Injuries, damage in Mass. tornado: A tornado that caused damage in Springfield, Mass., Wednesday afternoon was still on the ground an...",Avamaes5
124,People: dead,Casualties and damage," @ABCEnvironment: Death toll from US tornadoes climbs. 1,500 still missing http://bit.ly/jLSpfk #weather #joplin",ebony_bennett
125,People: dead,Casualties and damage,(AP) -- Nursing home owner in #Joplin says Sunday's tornado killed 11 from his property alone,KCTV5
126,Not specified (maybe people or infrastructure),Casualties and damage,The devastation at Joplin is heart breaking. My prayers go out to the victims of the tornado.,greeklamb
127,People: dead,Casualties and damage, @ABC: #BreakingNews: Midwest Tornado Death Toll Rises Sharply to 116 #Joplin #Missouri,admrich
128,Not specified (maybe people or infrastructure),Casualties and damage," @WorldVisionNews: Day 1 assessment in #Joplin, #Missouri found #tornado damage even more severe than #Tuscaloosa  ... #WorldVision",anitasantiago
129,Not specified (maybe people or infrastructure),Casualties and damage,What the country and the world have witnessed this week is the Spirit of  #Joplin Missouri MO Gov Jay Nixon,Shaybert
130,Not specified (maybe people or infrastructure),Casualties and damage," @NatGeoSociety: Photos: Devastating aftermath of #Joplin, Missouri #tornado http://on.natgeo.com/iRx34h",Saffarny
131,Not specified (maybe people or infrastructure),Casualties and damage," @BreakingNews: Denning, Arkansas, which has 100 homes, is destroyed by tornado - National Weather Service via KNWA http://bit.ly/k2Sbkv",LILTRUMP360
132,Not specified (maybe people or infrastructure),Casualties and damage,Sen. Alexander will tour tornado-damaged areas in Greene and Washington counties on Wednesday afternoon. http://bit.ly/lb726p.,SenAlexander
133,Not damage-related,Casualties and damage," @GMA: 18 tornado reports yesterday including 7 in Massachusetts, 4 in California and the rest in Nebraska and Kansas (via NWS)",officialgailie
134,People: dead,Casualties and damage," @BreakingNews: Joplin mayor Mike Woolston says more bodies found this morning, bringing tornado death toll to 130 - NBC News",LibyanINAmerica
135,Not specified (maybe people or infrastructure),Casualties and damage,Video of Kitten Found in Joplin Missouri Tornado Debris  http://bit.ly/l6NHKw,Anipalinfo
136,Not specified (maybe people or infrastructure),Casualties and damage,Damage from the Joplin Tornado . . . Devastating http://fb.me/RPgEae8u,NTLInsurance
137,Not damage-related,Casualties and damage," @CBCAlerts: Storm leaves 70,000 without power in southern Ontario . Possible tornadoes reported north of Toronto. #tornado",JosephSapia
