,type_of_advice_or_caution,category,text,screenname
18,Other,Caution and advice,bitch it's a tornado.. ain't shit to be scared of! you betta get your bitch ass in the position they taught you in elementary!,FaitesAvecAmo
19,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tornado forming over river, awesome.  http://bit.ly/kUDYU2",dunkman
20,A siren has been heard,Caution and advice,I'm pretty sure that's the tornado siren.,TheTreacher
21,A tornado sighting/touchdown has been reported,Caution and advice," @andybaldwin: Confirmed tornado on the ground in Dallas near Love Field. ""Softball-sized hail."" via @baxterholmes",AHizz
22,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,That Tornado Warning Shit just came on my Tv..,ConleyUGK
23,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@Lil_Wyte_ Man I swear #MotherNature has been pissed of in 2011. We got tornado warnings all over the Mtown&lt;&lt;she needs to get laid. haha,_Megan_Renae_
24,A tornado sighting/touchdown has been reported,Caution and advice,Murfreesboro PD confirming a tornado touchdown in Rutherford county. The storm is really cranking up here in the Lascassas Pike area....,jasonrosborn
25,Other,Caution and advice,"Tornado alarms blasting in the city, and all I'm thinking is Yippeee! I still have internet connection",True_Cdesigns
26,A tornado sighting/touchdown has been reported,Caution and advice,"Take cover Dallas!  @JimCantore DAMAGE IN DALLAS COUNTY NEAR EAGLE FORD, TX REPOS OF LARGE #TORNADO ON GROUND #txwx",wdglover
27,A tornado sighting/touchdown has been reported,Caution and advice,Tornado on ground in Southern Dallas County.,wendylefty
28,Other,Caution and advice,Emergency crews flying down highway toward Springfield at an alarming rate. Wish I stayed for the second #tornado.,slashway
29,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Lol so there is a tornado warning outside n im at work -_-,CreoleDollFACE
30,A tornado sighting/touchdown has been reported,Caution and advice,Tornado heading up Nall into Leawood. This is far too close for comfort. YIKES! I'm seriously scared! #kcstorms #tornado #FB #praying,MichaelaBondon
31,Other,Caution and advice,It was a tornado in GB but it's gone now  @TheeSBM: @Lil_Woadie wht tornado,Lil_Woadie
32,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tornado watch upgraded to warning in ctrl Oxfd Cty. Wther svc: ""Severe thunderstorm capable of producing a tornado 11 miles west of Bethel""",josie__huang
33,A siren has been heard,Caution and advice,Is that the ice cream truck? No wait shit thats a tornado warning siren,seriousstarss
34,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,There's a tornado warning around my area. :$,ericasimpsonize
35,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @wharman: Jeez, Kansas City. You didn't have to organize such a dramatic welcome. #tornado Warning is lifted. We're going to have lun ...",BOS_KLB
36,Other,Caution and advice,Tornado warning?,Miss_Lolo17
37,Other,Caution and advice,"If ing #tornado warnings, note the time of the original tweet or information. Don't tweet old information--not helpful.",mpf2011
38,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@BurnhamSWAT wow!! i was just in a tornado warning but it wasn't that bad! i hope it blows over fast!,alexajoyful
39,Other,Caution and advice,@CarolineManzo yes they are it looks like a tornado is coming,dutty18
40,A siren has been heard,Caution and advice,am i the only one who's been in a soccer game when the tornado sirens go off?? OUTTA TOWN!...n a tornado actually hit it was SCARY!,musicbelieber21
41,Other,Caution and advice,"Damn tornado warning don't mean shit 2 me. Motherfucka, I have survived Katrina's bitch ass, 2 tornados & a blizzard. Just another day 2 me",Wise_Ju
42,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning..ok im goin to take my bike nd go get something to eat,anthonybrindisi
43,A tornado sighting/touchdown has been reported,Caution and advice,Just drove right under a tornado forming.....holy shit....are we home yet???????,hckyle
44,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"@BorisVincze Yep same for us, our tornado chances went down, still sitting here ready to drive to safety though.",Avs2Hawksfan
45,A tornado sighting/touchdown has been reported,Caution and advice,"Looks like another tornado. Yep, got all my books in the basement.",MustachedOwls
46,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,tornado warning issed for st. joseph county. sky is almost black.,MaloneMK
47,Other,Caution and advice,@jbluther ... and now we're under a tornado watch for the same storm system that hit OK.,codyedwards
48,Other,Caution and advice," @JimmyMcIver:  @victoria_29: #Debris falling on #I 40 #Tornado has lifted, a mile & 1/2 west of Casino/seems headed toward Tulsa, h ...",shybullwinkle
49,Other,Caution and advice,Wow this tornado was WAY closer than Joplin :(,Jamerz2043
50,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,tornado warning and the mall on lockdown. oh shit. meridian goin nuts.,slooch3
51,A siren has been heard,Caution and advice," @whoaitsmonica: Sirens started going off. Tornado has officially touched down in my hometown, super worried about my family right. #p ...",AlEeeeEeXa
52,Other,Caution and advice,TAKE COVER!!! #TORNADO!!,I_LuvU_Jodey
53,A siren has been heard,Caution and advice,Please be praying for everybody here in Joplin! Tornado sirens once again. :(,preety909
54,A tornado sighting/touchdown has been reported,Caution and advice,Tornado headed right for the sprint headquarters...dad if you see this I'm in Hannah's basement! #scared,wheelcrimm
55,Other,Caution and advice,Major tornado outbreak overnight. People need help and I'm feeling helpless.,CHVandergriff
56,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,there is tornado warnings so we might have to go to the celler,Amexacan
57,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Were under a tornado warning, and the sirens are going off like crazy ... I did sign up for this.",BarbieMovement
58,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Winds are gusting tonight.  I'm in an area that DOES NOT get tornado's but we now have a tornado watch !!!  crazy......,Irishgal719
59,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @KellyKCTV5: cass, johnson, jackson, layfatte county under tornado warnings rt now",BrianBShynin
60,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,The weather be scaring people the only thing we gonna get is alot of rain... No tornado.,DJFnF
61,A tornado sighting/touchdown has been reported,Caution and advice," @cindyrobuck:  @stormchaser4850: Developing: NWS meteorologists were tracking a tornado on the ground near Ramona, SD, moving NE at ...",Luv4Autumn
62,A siren has been heard,Caution and advice,Taking cover. Sirens going off. #tornado heading north along hwy 69 :/,CarisaGaul
63,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Holy hell...a tornado warning for east of Grand Rapids, MI!!!",Lupita_GarzaG
64,Other,Caution and advice,"Just remember, if you are outside in a tornado, you are screwed.  Indoors, think about bathtub/mattress combo.",fraudfeasor
65,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"#tornado watch; needless to say, im freaking out. and the most important part of my survival kit is missing &lt;/3",samferg21
66,Other,Caution and advice,@imleftbehind I checked & sirens prob shouldn't have gone off in Crete b/c it was not in the tornado warning. better safe than sorry  ty!,MikeHamernik
67,Other,Caution and advice,Everybody go in y'all basements tornado coming lol..,__Road2Riches__
68,A siren has been heard,Caution and advice, @Hazewalker:  @david0monroe: Tornado sirens going off now in Cumberland #inwx  I Just Tweeted that!,David0Monroe
69,Other,Caution and advice,the air smells of Tornado,DixieCream
70,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Watch now for entire metro area.  Just issued.,KellyDHicks
71,A siren has been heard,Caution and advice,"Tornado sirens blaring in Brookside, but hail ended for now.",AltTulsa
72,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Raining tornado warning hope everyone is ok,ILove_Music88
73,A siren has been heard,Caution and advice,I just heard the tornado sirens and at first was like 'Dammit!!!' then remembered it's the first Wed of the month.,BeliebeInLakers
74,Other,Caution and advice,That was some apocalyptic weather that just hit.  I thought that was an impromptu tornado,TheOtherMonroe
75,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @WSILNews: JEFFERSON, GALLATIN, POPE, SALINE, WILLIAMSON, JACKSON, PERRY IL ALL UNDER TORNADO WARNINGS. NOW IS THE TIME TO SEEK SHELTER.",BadgesthatCare
76,Other,Caution and advice, @JimFreund: Apparently we have no exclusivity.  The tornado watch is for all SE NY.  http://1.usa.gov/mSPGdf,kwnewton
77,Other,Caution and advice,"The #PDS #Tornado watch for parts of KY runs until 9pm CDT. Includes Bowling Green, Louisville, Paducah, Ft. Campbell, Franklin. #KYwx",TWC_Shawn
78,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"praying for all the people who are under the tornado warnings right now! please be safe:) and keep your head held up high, you'll make it .",Liv3LoveBelieb
79,Other,Caution and advice,Tornado hunters are on their way  @TorontoStar: Severe storms hit #hamont area - may have spawned a tornado http://bit.ly/kfL1Mc,LMThompson
80,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tornado Warning until 9:00 p.m. for DeSoto, Marshall and Tate counties in Mississippi.",ABC24
81,Other,Caution and advice,.@DLoesch @m_mccoy @colestreeper1 @Lindatini @aRuffLife - leave sap at Flying J alone and come join #WBC #joplin picket :),
82,Other,Caution and advice," @Lady_Patriot: I think we're clear of the tornado now, which means I can get on the *electric* bus now. #notthesafestplaceinastorm",jurylady
83,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Watch Ì¢‰âÂ‰ÛÏ Expiration http://nblo.gs/iBYgB,HeathWXAlerts
84,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning for Butler and Preble Counties until 6:45 PM.,ABC22FOX45
85,Other,Caution and advice, @14FirstAlert: TORNADO WARNING issued for parts of DAVIESS county in KY until 09:45 PM CT - http://wx4.me/N9.TW1026 #tristatewx,CakeBossThuggin
86,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: #Tornado reported in the Kansas City metro!  TAKE COVER in Overland Park, Leawood, Lenexa!  Alert:  http://wxch.nl/jsmObR",TheVIOLATOR2112
87,Other,Caution and advice, @txstormchasers: PDS (Particularly Dangerous Situation) #Tornado Watch for much of NW/N TX and OK. #txwx #okwx #severe,CamilaBarg
88,Other,Caution and advice, @reedtimmerTVN: Thursday system would likely be a significant tornado outbreak in Canadian Prairies if a month later with moisture.   ...,steinbachwx
89,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"@7News: New tornado warning for storm in Springfield/Chicopee. Heading east at 35mph. Warning into SW Worcester County again, ti.	Thu Jun 02 01:25:50 AST 2011	&lt;a href=http://twitter.com/download/android"" rel=""nofollow""&gt;Twitter for Android&lt;/a&gt;",0
90,A tornado sighting/touchdown has been reported,Caution and advice, @weatherchannel:  @JustinNOAA: BREAKING #NOAA has upgraded Joplin #tornado from EF-4 to EF-5; winds greater than 200 mph,WillScroggs
91,A tornado sighting/touchdown has been reported,Caution and advice," @Rachel__Nichols: Another tornado in OK; this one a half-mile wide. More coming. Text ""REDCROSS"" to 90999 to ... http://tmi.me/aBEOn",GHgolf23
92,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,A tornado warning for Oakland County. #backchannel,JKissnHug
93,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,A SEVERE THUNDERSTORM WARNING HAS BEEN ISSUED FOR BEAVER COUNTY IN THE OKLAHOMA PANHANDLE UNTIL 11:00 PM SATURDAY. #okwx #fb,OKWXTracker
94,A shelter is open or available,Caution and advice, @1079KFIN: Jonesboro Westside Middle school tornado shelter will be open to the public.@region8news #ARWX @Tori_Lennox,Freedomwarrior
95,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @MoeWx: New Meso... Tornado WATCH is likely just west of the Tri-State ... #ILwx #KYwx #tristatewx,GinaM121
96,A tornado sighting/touchdown has been reported,Caution and advice," @4029news: Denning has taken a direct hit from this large, dangerous tornado, which is headed toward I-40 between HWY 23 and Clarksville.",kelseylsteele
97,A tornado sighting/touchdown has been reported,Caution and advice, @tjholmes: Weather spotters confirm a tornado is on the ground moving toward Joplin.,NheGreek
98,Other,Caution and advice,@CeeAngi Heard these was a tornado in the Chicago area FWIW.,ParadigmShift35
99,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @daynavettese: Tornado warning ended for Hamilton. Still severe thunderstorm warnings.,KMacTWN
100,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@Teaschell oh that could be it. But be careful they just issued a tornado warning for all southeastern mi..........,ElderParker85
101,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Looks like new #tornado #warning for #Springfield MA area!crazyness ... coverage: Springfield: WWLP.com WGGB.com Boston: WBZtv.com WHDH.com,cantnot
102,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @EvansvilleWatch:  @tristatealerts: TORNADO WARNING issued for parts of GALLATIN; WHITE; POSEY; HENDERSON; UNION county in IL/IN/KY ...,GinaM121
103,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Horrible.  @cnnbrk: More severe weather moving into tornado-hit #Joplin, Missouri, area. http://on.cnn.com/kiObzM",RiskMgmt
104,A tornado sighting/touchdown has been reported,Caution and advice, @AnneMarieWTHR: Storm spotters reporting tornado on the ground northeast of Bedford right now,ChikageWindler
105,Other,Caution and advice, @fishfire: FEMA  now enroute to #JOPLIN with IMAT team with full support team at the ready.  #JOPLIN,TheFireTracker2
106,Other,Caution and advice," @HumanityRoad: After a #tornado Limit travel, sightseeing can impede emergency response #tornado #springfield #MA #WX Stay home, stay ...",viequesbound
107,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning! AHHH,kayleexkeim
108,A tornado sighting/touchdown has been reported,Caution and advice, @PaulPoteet: Another TORNADO report ...now just west of Seymour and north of US 50.,trainiac1aco
109,Other,Caution and advice,@SnakeBytesTV Look out for Tornado's,reptile411
110,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Ahhhhhh! We have a tornado watch!!!,_its_katherine
111,Other,Caution and advice,Tornado Watch Wednesday: Report In Liveblog #4 http://t.co/IWFm2j0,_Susan
112,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning for Midland and southern Midland county #michigan,relishdress
113,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,tornado watch for central mississippi including starkville till 4AM..expect the strongest storms between 1 and 3AM.,StormChaser9008
114,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: TAKE COVER near Beaman, MO and eastern Pettis County.  #Tornado likely doing damage.   http://wxch.nl/kK7jEz",ogr8t
115,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning for Oakland County in MI until 6:45pm EDT.,StormWatcher1
116,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: Brief #tornado reported near Rose, NE.  The supercell they're tracking:  http://wxch.nl/lvqVxr  #newx",J618UA
117,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tornado Warning for Elkhart, Kosciusko, Lagrange, Marshall, Noble and St. Joseph County in IN until 4:15pm EDT. #inwx",alastormspotter
118,A tornado sighting/touchdown has been reported,Caution and advice," @cnnbrk: Weather spotters report #tornado moving toward Joplin, Missouri, at 45 mph http://on.cnn.com/k1ZN2b",almek14
119,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @BreakingNews: Fans at Rangers game in Arlington, Texas, are sheltering in place after tornado warning - @CardsFaninBigD http://bit.l ...",Cyrasdaughter10
120,A tornado sighting/touchdown has been reported,Caution and advice,Tornado Terjang Massachusetts: 02/06/2011 14:15 (Amerika Serikat) ,
121,Other,Caution and advice,From #Joplin site: Police &fire officials strongly encourage anyone who does not live in the affected area to stay clear of damage site.,ChrisWragge
122,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,SPC Tornado Watch 411 Status Reports http://dlvr.it/TmnlQ,Chris_Garner1
123,Other,Caution and advice,Another possible Tornado near Amherst,AmaTOOCH6
124,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Storms rolling in... The classic combo of thunderstorm warning + tornado watch = sirens... HA HA insomnia, storms always defeat you! Zzzzz..",hollieismyname
125,Other,Caution and advice, @slashdot: Tornado Risk Seen For Social Security Data Center http://bit.ly/morhoY,pranjan12
126,A tornado sighting/touchdown has been reported,Caution and advice," @CNN: Just In:  A tornado was spotted near midtown Memphis, Tennessee, according to the National Weather Service.",NolaMar1
127,Other,Caution and advice, @newsday: A tornado watch is in effect for Nassau County and all of New York City until 8 p.m. today http://bit.ly/kKCcrC,mikemost
128,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: #Tornado near Brimfield, MA moving E.  Will pass very close AGAIN to Sturbridge, MA.  TAKE COVER!  Alert:  http://wxch. ...",Synergy3k
129,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning :(,SkittlesMC327
130,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @cnnbrk #Tornado warning for Shelby and parts of Crittenden counties, Tenn., including Memphis http://on.cnn.com/kslZp0",BillionaireK
131,Other,Caution and advice, @indystar: National Weather Service issues tornado watch for central Indiana until 7 p.m.,tobinperry
132,Other,Caution and advice," @NBCConnecticut:  @DarrenSweeney: The Storm Prediction Center has extended the Tornado watch for Hartford, Tolland and Windham Coun ...",WindsorLckPatch
133,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: LARGE, multivortex #tornado now near Binger, OK or 6 miles south of Hinton.  TAKE COVER NOW below ground!  http://wxch. ...",RedCross
134,Other,Caution and advice,"NWS dopplar radar indicated a severe storm producing a tornado near Clarksdale, Mississippi, moving NE at 45 mph (748 pm CDT)",Twister_R_T
135,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @KATVNews: Tornado warning for Jefferson County, White Hall, Pine Bluff take cover now. /via @KATVBarry",NewsWithQuintin
136,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @RobinMeade:  @cnnbrk: NWS issues #tornado emergency for Newcastle, Norman and Moore, Oklahoma http://on.cnn.com/k1ZN2b",jaymienachole
137,A siren has been heard,Caution and advice,So the tornado siren just went off :(:(,B00dy_b_Round
138,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,tornado watch extends from,
139,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @DaveSnider: New event. Tornado Warning from 5/24/2011 10:34 PM to 11:00 PM CDT for Barton County, Dade Coun... Read more at http://b ...",AlaynaJW
140,Other,Caution and advice,"Another tornado headed towards Joplin, MO. Damn #PrayForJoplin",brady__G
141,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @danibeej: The whole state of new jersey is under a tornado watch.. Oh.,Junilzaaa
142,Other,Caution and advice," @LiberalJaxx:  @trkrsvoice: #Truckers have blocked #Westboro in at the Flying J in #Joplin! If you're near, stand with them! #tcot  ...",TexianLife
143,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,TORNADO WATCH UNTIL 9 PM IN NE OHIO STRONG TO SVR STORMS WITH A HISTORY OF PRODUCING LG HAIL & ROTATION WILL AFFECT NE OH AND NW PA AT 9 PM,JetPinPointWx
144,A tornado sighting/touchdown has been reported,Caution and advice," @Rich_WGEM: Tornado on the ground near Harrisonville, MO. Another in KS along I-35 near Mile marker 224.",farmerswife3404
145,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning for Ouachita and Union Parish in LA until 9:15pm CDT. #lawx,severewarn
146,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning alert but no tornado http://t.co/r4y0FnJ,kqthate
147,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,A SEVERE THUNDERSTORM WARNING REMAINS IN EFFECT UNTIL 315 AM CDT FOR CENTRAL COMANCHE COUNTY http://tinyurl.com/23uk4o5 #okwx,OKWXTracker
148,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,#Tornado watch till 9 pm CDT Saint Louis city county Jefferson St Charles Franklin Lincoln Pike Warren & Montgomery counties #MO #STL,slackadjuster
149,A tornado sighting/touchdown has been reported,Caution and advice," @breakingweather: #Tornado on the ground south of Palmer, #Mass. & continue moving eastward toward Fiskdale in western Worcester Co.  ...",justpipertoo
150,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @weatherchannel: NOAA's Storm Prediction Center:  HIGH risk for severe today.  Dr. Forbes agrees.  Ingredients for #tornado outbreak: ...,TOGradyChicago
151,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning,ANDflipp
152,A tornado sighting/touchdown has been reported,Caution and advice,@2Gs_ Tornado Coming be careful,ripcolreb
153,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @twister_tracker: TORNADO WARNING: Love (Oklahoma)  Expires: 05/24/2011 06:45PM (CDT) http://bit.ly/mLnSwe #tornado #okwx #okstorms,MyBorderCollie
154,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Jackson, Johnson, Cass Counties Under Tornado Warnings  http://sns.mx/C8d6y7",KansasUpdate
155,Other,Caution and advice,a #tornado hit #japan??,detroitcousin
156,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @severewarn: Severe Thunderstorm Warning for Alfalfa and Grant County in OK until 9:00pm CDT. #okwx,Uebertweeter
157,A tornado sighting/touchdown has been reported,Caution and advice, @CBCNews: Possible tornado strikes near Hamilton overnight http://bit.ly/lWg59P,merrysomers
158,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"TORNADO WARNING [ Fillmore, NE ][ Nuckolls, NE ][ Thayer, NE ] Expires: Tue May 31 00:00 EDT #SVRAlert",MiWxSystem
159,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,TORNADO WARNING in effect for Oakland County till 6:45 p.m. http://bit.ly/j19TMy,RochesterPatch
160,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"confirmed by @ceitfianna, @iamnotree & @mulka: TORNADO WARNING IN ANN ARBOR. Batten down the whatevers.",joannatovaprice
161,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @CNN: Just In:  Tornado warning canceled for Joplin, Missouri",soul3208
162,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning Union County in #NEGA #GAWX,ThePriestessX
163,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning with rotation by Forney #onthelookout,samueldew
164,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tornado warning, Sacramento county, pls take shelter!",ynotweb
165,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Watch issued May 29 at 3:55PM EDT expiring May 29 at 8:00PM EDT by NWS NorthernIndiana... http://dlvr.it/TQDxm,Chris_Garner1
166,Other,Caution and advice,"@ktkather well, there will not be a tornado tonight.  I would suggest finding some place in the area.  Do you live in a complex or is it sml",jayandrewryan
167,Other,Caution and advice,@PRIDE2GrowMore I've never seen anything like this before. I'll be shocked if there were no tornado touch downs north of #Guelph.,ClaireSCowan
168,A shelter is open or available,Caution and advice, @BreakingNews: DFW airport (@dfwairport) has sheltered passengers in the terminal after tornado warning - CBS DFW live stream http:// ...,ericvice
169,A tornado sighting/touchdown has been reported,Caution and advice,Report of tornado spotted just north of Cerro Gordo. @Matt_Brickman  will be breaking in momentarily with the most up to date information.,Kate_Springer
170,Other,Caution and advice," @Boston_Police: National Weather Service has issued Tornado Watch in effect until 8:00PM for several MA counties, including Suffolk C ...",StephTheBlogger
171,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,@EmmettLuvr1935 Florence has a tornado watch until 9,kmcha08
172,A siren has been heard,Caution and advice,funny how everyone in this second-floor newsroom ignores the blaring tornado sirens outside.,MaloneMK
173,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning for Barry and Calhoun County in MI until 5:00pm EDT. #miwx,severestudios
174,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Wtf? Come on now. @TWCBreaking: Tornado warning for #Joplin, Mo.!! Radar and warning info: http://wxch.nl/mGgs3M",ThisIsntAnn
175,A tornado sighting/touchdown has been reported,Caution and advice," @CNN: Just In: Tornado spotted in Bedford, Texas, between Fort Worth and Dallas, according to the National Weather Service.",DAWNOFNEWDAYS
176,A tornado sighting/touchdown has been reported,Caution and advice," @breakingweather: Reports of a possible #tornado and numerous trees down 2-miles north of Springboro, Pennsylvania at 4:55 p.m. EDT.",karmapr
177,A tornado sighting/touchdown has been reported,Caution and advice,"Stewart County hit by tornado, weather service reports http://twurl.nl/dphwl6 http://twurl.nl/jjaa",RoofTop_Roofing
178,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @OKWXTracker: A SEVERE THUNDERSTORM WATCH IS IN EFFECT UNTIL 11:00 PM SATURDAY FOR PAS OF OKLAHOMA, http://tinyurl.com/23uk4o5 #okw ...",jonfierce
179,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"National Weather Service issues TORNADO WARNING for Texas County, OK and Beaver County, OK until 7:30pm.",kbuf
180,Other,Caution and advice,http://twitpic.com/52e998  possible tornado forming by work heading towards @tjmlnarik .  Duck and cover.,g_schrage52
181,Other,Caution and advice,Tornado watch extended until 11pm hope everyone is home or in a safe spot.,jpbagley
