,choose_one,text_no_rt,user
107,Personal only,My heart goes out to the people of #Joplin Missouri. Be strong you guys can make it through. #GodSpeed, 
108,Informative (Direct or Indirect),#OUN continues Tornado Watch for  Atoka Bryan Canadian Carter Cleveland Coal Garfield Garvin Grady Grant Hu ht ..., 
109,Informative (Direct or Indirect),#OUN continues Tornado Watch for  Atoka Bryan Canadian Carter Cleveland Coal Garfield Garvin Grady Grant Hu ht ..., 
110,Other,#joplin numerous TVS southwest of town 70 miles, 
111,Personal only,Love love love storms! We had a tornado warning last night though that was a bit much @Literarygrrrl @glennrogers42  @lympha13  #pubwrite, 
112,Personal only,Oklahoma Alabama Missouri tea party people.  Call Dick Armey about a free market solution to tornado damage.  We'll wait. ..., 
113,Informative (Indirect),Was watching @KFOR's tornado coverage earlier. Their chopper pilot went off the air to land and help people on the ground out. Amazing., 
114,Personal only,The tornado is coming and I think I might die a virgin. #FML, 
115,Personal only,Yup I havethis Grill turned on as this tornado heads right for is.  http://lockerz.com/s/104527524, 
116,Informative (Indirect),Weather service issues #tornado watch for western Missouri extreme eastern Kansas http://on.cnn.com/k1ZN2b, 
117,Informative (Direct or Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx, 
118,Informative (Indirect),#Denton County Texas.  Live stream of #Skywarn ops for #Tornado Warning http://bit.ly/kTSVg3 @Ants_SNEweather @Boston_FF_L29 @JimCantore, 
119,Informative (Indirect),Tornado Kills two in Suburban Oklahoma City: An emergency official says a tornado has killed 2 people in suburba... http://bit.ly/iiyjZK, 
120,Personal only,House is fine a bit messy inside but that has nothing to do with the tornados.  #okwx, 
121,Personal only,Praying for the Missouri tornado victims :( &lt;3 god bless, 
122,Personal only,Poor #Joplin. Those poor people. :(, 
123,Informative (Direct),0_0 whr? hpe u ok RT @Darkskin: Just took cover...damn Tornado landed about 15 minutes ago. Sirens and alarms are going off like crazy., 
124,Informative (Direct or Indirect),Wooden cross only thing left standing after tornado at St. Mary's church in Joplin MO. #endofdays #comingsoon, 
125,Informative (Direct or Indirect),Tornado on the ground near Dallas but no break-in coverage?, 
126,Informative (Direct or Indirect),Reported Tornado on the ground North of Bartlesville. Take shelter., 
127,Informative (Direct or Indirect),Tornado watch issued for Kansas city area and #joplin #kcstorms #ksstorms, 
128,Informative (Direct or Indirect),Seeing tornado warning now in Wise County TX  #weather #tornadoes #txlege, 
129,Informative (Direct),@JimCantore 15 minutes ago raining debris north of Shawnee OK north I-40. #tornado, 
130,Informative (Direct or Indirect),Multiple #tornado reports in Tarrant County. Heading at D/FW airport. #txwx #severe, 
131,Informative (Indirect),Tornado in Denton County TX now reported to be near Lantana. Warning info and radar: http://wxch.nl/laelgs, 
132,Informative (Indirect),Tornado in Oklahoma on the ground for 50 miles. Unheard of. #prayersneeded, 
133,Informative (Direct or Indirect),Joplin tornado now rated EF 5 w/over 200mph. A similar monster twister now moving thru central OK!!, 
134,Informative (Direct or Indirect),Possible #tornado on the ground SW of Agnes #Texas. SEEK SHELTER IN SPRINGTOWN TEXAS! #TXWX Follow 4 updates., 
135,Informative (Indirect),Washington OK Tornado 5/24 http://instagr.am/p/Eri_L/, 
136,Informative (Direct or Indirect),Apply padding then pressure with fist into groin for severe leg bleeds #1stAid4 #okwx #Joplin, 
137,Informative (Direct or Indirect),A storm with circulation remains near Seminole to the Northeast toward Prague Boley and Stroud. Be prepared to take tornado ..., 
138,Informative (Direct or Indirect),CRAP RT @Lawsonbulk: Tornado watch just issued for Joplin Mo, 
139,Informative (Indirect),Even more -- RT @NBCDFWWeather: Tornado Warning for Cooke Cty.  - Possible tornado 8 miles west of Valley View.  Rshade, 
140,Informative (Indirect),Here is a link where you can see what your area is doing to help those affected by the Joplin tornado http://on.fb.me/lsGDh0. #prayforjoplin, 
141,Personal only,Glad I could help @TrekJen #Joplin, 
142,Informative (Direct or Indirect),TORNADO WARNING - DENTON COUNTY  8:15P, 
143,Informative (Direct),Actor @paulwalker47 's charity #ROWW needs #Donations so that they can deploy a team to #Joplin. Please visit www.ROWW.org ..#HelpJoplin RT, 
144,Informative (Direct or Indirect),#tornado warring for Northern Parker county #texas, 
145,Informative (Indirect),State EOC remains activated due to severe weather - Situation Update #2  http://1.usa.gov/jdXnJ1 #okwx, 
146,Personal only,Is everyone forgetting that Missouri is right next to Kansas? It's fricking tornado alley. THIS IS NOT UNEXPECTED., 
147,Informative (Direct or Indirect),Joplin in tornado watch box....nxt 4-5 hrs, 
148,Informative (Indirect),Hope it doesnt happen. RT @cnnbrk: Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
149,Informative (Direct or Indirect),Rain tornado rain rain more tornadoes. http://wapo.st/j814SD #springfromhell, 
150,Informative (Indirect),Tornado arning for Casewell and Rockingham Counties NC until 9:15pm via TWC TV, 
151,Informative (Indirect),Video of KFOR-TV storm chaser nearly getting hit by power pole during tornado chase -- http://is.gd/eC7WOw, 
152,Informative (Indirect),"In #Reno Texas 3.5"" hail showing up on RADAR...works well with softball sized hail for W Tarrant County #Texas.  #TXwx", 
153,Informative (Direct or Indirect),Joplin tornado was EF5. The Finger Of God. 6 miles long 1800 acres of destruction 1500 missing 126 dead. #nowords, 
154,Informative (Indirect),NWS DETECTED A DEVELOPING TORNADO 7 MILES NORTHEAST OF MINERAL WELLS STATE PARK... MOVING EAST AT 40 MPH, 
155,Other,[#WhataNews]: ÃƒÂ¥ÃƒÂˆ Tornado no Missouri matou 122 http://bit.ly/j7JvBs, 
156,Informative (Direct or Indirect),@wakingrose87 Tornado touches down in Canadian county Oklahoma! That near your area??, 
157,Informative (Direct or Indirect),This is out of control.  #arwx RT @nwbartholomew: Word on the street is that NWA Wal*Marts have closed in anticipation of the storms., 
158,Informative (Indirect),#Tornado earlier near Chickasha OK via @myria101.  This is headed toward Moore NW Norman S. Okla. City!!  http:/ ..., 
159,Personal only,My prayers goes to Oklahoma after this tornado nothing will be the same, 
160,Informative (Direct or Indirect),A little bit of rotation but no tornado yet forming near Little-OK. Y'all keep safe and sheltered. #OKWX, 
161,Personal only,I just know the tornado alerts are gonna get in the way. It's not that IDC; I just wish the weather could get itself together for Glee., 
162,Other,EUA | Tornado que arrasou Joplin e deixou mais de 120 mortos recebe classificaÃƒÂŒÃ‚Â¤ÃƒÂŒÃ‚Â£o final de EF5 mÃƒÂŒÃƒÂximo da escala Fujita (mai ..., 
163,Informative (Direct or Indirect),A #Tornado Warning issued for for Denton & Wise County in #TX until 8:15pm CDT. Get this! Tornado watch for #Joplin until 3am local time., 
164,Informative (Indirect),DIRK HELP US!! // RT @wfaaep: TORNADO WARNING - DENTON COUNTY  8:15PM, 
165,Informative (Direct or Indirect),Even more -- RT @NBCDFWWeather: Tornado Warning for Cooke Cty.  - Possible tornado 8 miles west of Valley View.  Rshade, 
166,Other,Joplin najtragiczniejsze tornado od 60 lat: http://t.co/FsEqdUo, 
167,Informative (Direct or Indirect),Sirens going off in Tarrant County Texas. Go to your shelter! Take no chances today. #txwx, 
168,Personal only,OK AL MO tea party people - Call Dick Armey about a free market solution to tornado damage. We'll wait. #p2, 
169,Informative (Direct or Indirect),Possible developing tornado between Peaster & Poolville in northern Parker Co.  Tornado Warnings in effect in Parker Wise & Cooke Co.s - DF, 
170,Personal only,This weather blows. #puns #prayers #tornado #oklahomacity #oklahoma #joplin  #missouri, 
171,Personal only,Excuse my rambling in the video I just posted. Just take in the scenery and read the bottom to volunteer/donate. #Joplin, 
172,Informative (Direct or Indirect),#Tornado outbreak beginning in North Texas. #txwx, 
173,Informative (Direct or Indirect),#Tornado outbreak beginning in North Texas. #txwx, 
174,Informative (Indirect),OK news reporting fatality due to SOFTBALL sized #hail! Please seek shelter if you're in the path of these monsters! #severewx #tornado, 
175,Personal only,please pray for the tornado victims.. PLEASE.., 
176,Informative (Indirect),Tornado straight ran through his truck hope he's okay.  http://lockerz.com/s/104523996, 
177,Personal only,Please donate what you can to help and assist #Joplin and those impacted by the most recent tornadoes and those on the ..., 
178,Informative (Direct or Indirect),The Timbers will collect for the Red Cross  to help tornado victims at Sunday's match.  Capt. Jack Jewsbury is a nat ..., 
179,Informative (Direct),Shoes will be on the way to #Joplin this weekend via our partners @crosspoint_tv @Soles4Souls @cpmissions, 
180,Informative (Direct or Indirect),How are 1500 still unaccounted for in #Joplin!???, 
181,Personal only,Praying for #Joplin, 
182,Informative (Direct or Indirect),Posible #Tornado on ground near Admore #Oklahoma. People should seek shelter now! #OK, 
183,Personal only,Dear God I said I wanna 'tour N.A.D.O.' not 'tornado.' This sucks! -Guy from Joplin MO who prays for things that god hears incorrectly, 
184,Informative (Direct or Indirect),Tornado warning has been issued for Tarrant County TX!!!!!, 
185,Informative (Indirect),Live stream tornado coverage headed to Tulsa http://bit.ly/mws2tK, 
186,Informative (Direct or Indirect),@crosschurch had over 100 serving @calvaryjoplin tornado relief today supply distribution organizing cleanup and assess ..., 
187,Informative (Direct or Indirect),AZLE TAKE COVER: Tornado reported on the ground., 
188,Informative (Indirect),Tornado Watch now for entire metro area.  Just issued., 
189,Informative (Direct),Truly amazing 2C ppl passing by in ATV's offering free food & water to residents & press!  Good people here in #Joplin, 
190,Informative (Indirect),#Joplin MO now under a #tornado watch until 3 a.m. #MOwx, 
191,Personal only,How we dress for the tornado shelter http://instagr.am/p/ErlFG/, 
192,Informative (Direct or Indirect),Tornado Warning for Denton & SE Wise Co. til 8:15p  Tornado detected near Rhome moving East at 40 mph., 
193,Informative (Direct or Indirect),There is now a Tornado 3 miles SE of Springtown with debris on the ground!  Get to your storm shelter immediately!, 
194,Informative (Direct or Indirect),Under tornado warning in Texas. Go away!!!!, 
195,Informative (Direct or Indirect),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
196,Informative (Direct),We've raised $25000 in donations tonight for #Joplin. Our viewers are so generous. It feels great to help those in need., 
197,Informative (Direct),We've raised $25000 in donations tonight for #Joplin. Our viewers are so generous. It feels great to help those in need., 
198,Personal only,The Lord got it going down in oklahoma baby running from one tornado to another one no worry... http://bit.ly/jWYgAw, 
199,Informative (Direct or Indirect),Possible debris ball on radar near Little #Oklahoma. This cell looks very dangerous. Okemah OK seek shelter! #OKWX, 
200,Informative (Direct or Indirect),Tornado outbreak in progress north and NW of Dallas. Everyone in the Metroplex needs to be listening to the weather rig ..., 
201,Informative (Direct or Indirect),El Reno Mesonet site records a wind gust of 151 mph late this afternoon!  That's a record for the Mesonet. #okwx, 
202,Informative (Indirect),Maps & Advisory #Oklahoma:Strong #Tornadoes Outbreak (as of 5/24/11 7PM Local) Plan Shelter Now http://1.usa.gov/kGKgUI ht @usNOAAgov #OKwx, 
203,Informative (Direct or Indirect),Tornado to the north of Tishomingo toward Coalgate... Wapanucka is in the path... #okwx, 
204,Informative (Indirect),"I heard on the evening news that Fergus is definitely in Ontario's tornado alley. Suggest we all identify our ""best saf ...", 
205,Informative (Direct),F4 & F5 Tornado damage seen in OKC...heading towards Missouri. Rain wrapped Tornadoes w/ Eyes like Hurricanes., 
206,Personal only,please pray for the tornado victims.. PLEASE.., 
207,Informative (Direct),Tornado alarms are blaring might have to go for cover., 
208,Informative (Indirect),[UT news] Medical examiner: 4 dead in Oklahoma tornadoes: A broad tornado has blown through the Oklahoma City m... http://usat.ly/jQus5y, 
209,Informative (Indirect),#Oklahoma House erased. #tornado http://ow.ly/i/c0RG, 
210,Informative (Direct or Indirect),First Baptist Church in Piedmont opening up as shelter...please help get word out! #okwx, 
211,Informative (Indirect),Watch County Notification - Nws has issued a tornado watch for johnson county until 03:00 am, 
212,Informative (Direct or Indirect),Please continue praying for the people of Joplin MO affected by Sunday's tornado. Find updates and ways to help... http ..., 
213,Personal only,@whskr Would you like to contribute a work to an auction for Joplin Missouri tornado animal relief auction., 
214,Personal only,Forever amazed by video footage of tornadoes... PUT THE CAMERA DOWN and GTFO! #tornado, 
215,Personal only,as expected no RE on NN or guest lists - tornado coverage dominates, 
216,Informative (Indirect),TWC #Severe Weather Expert Dr. Forbes is predicting #Joplin will get hit with severe weather around 9:30 p.m. CDT. #MOwx, 
217,Personal only,Within 2 mins of TV news I saw: tornado volcano child abuse iphone robberies apt fire harlem school closing down. Sh ..., 
218,Informative (Direct or Indirect),The #Joplin public library needs volunteers to help set up comps so ppl can use them 2 communicate. If you can help cal ..., 
219,Personal only,At Puckett's with @jenniferg07 @KayeWhitener & @Marym2631 to see @mallaryhope play & hopefully raise a lot of money f ..., 
220,Informative (Direct or Indirect),Powerlines down from storm near Cleveland Oklahoma #okwx tune to KFAQ, 
221,Informative (Direct or Indirect),North Texans: if you get a WARNING thunderstorm or tornado get to shelter on the double. ... http://tmi.me/aBHzY, 
222,Informative (Indirect),Spotters reporting a tornado confirmed near Bedford TX in the Dallas/Ft. Worth Metro. Seek (cont) http://tl.gd/alvhdh, 
223,Informative (Direct or Indirect),holy @#$% #tornado before and after: http://t.co/jZMuQx7, 
224,Informative (Direct or Indirect),It is very clear the nation's worst year for tornado fatalities since 1953 is growing worse tonight as news and imag ..., 
225,Informative (Direct or Indirect),#src @KansasPhoto: #AmericanRedCross: #loc Greater Ozarks Chapter #needs cleaning supplies. #info PLEASE NO MORE BOTTLED WATER. #Joplin, 
226,Personal only,PhotoBlog: KFOR weatherman Mike Morgan wears his red Severe Weather Tie for tornado coverage http://t.co/If0SEzD, 
227,Informative (Direct or Indirect),@LinkedInExpert @thekencook Tornado Watch in Kansas :( #linkedinchat, 
228,Informative (Direct or Indirect),Tornado spotted on ground near Powell/Lebanon area Hwy 99C along the Marshall/Love Co. line. Take tornado precautions now., 
229,Informative (Indirect),TORNADO WATCH UNTIL 3AM http://nixle.us/7RTGN, 
230,Informative (Indirect),Meeeep Meeeeeep meeep meep meeep 124 meep meep Meeeep meeep #tornado meeep http://on.cnn.com/k1ZN2b, 
231,Informative (Direct or Indirect),#OUN cancels Tornado Watch for  Alfalfa Blaine Caddo Comanche Cotton Custer Dewey Greer Jackson Kiowa Major ht ..., 
232,Informative (Indirect),#OUN cancels Tornado Watch for  Alfalfa Blaine Caddo Comanche Cotton Custer Dewey Greer Jackson Kiowa Major ht ..., 
233,Informative (Direct or Indirect),Tornado Watch for portions of the area in MO until 3:00am CDT. #mowx, 
234,Informative (Direct),Hi all.  Stopped by quick to make sure all is okay here.  Tornado weather is coming in this direction. Just  (live at http://ustre.am/xWEr), 
235,Personal only,please pray for the tornado victims.. PLEASE.., 
236,Informative (Direct or Indirect),#Joplin Missing: Tonja Creamer Sawyer. Was at WalMart on 15th. From Ft Scott KS Please Contact http://www.facebook.com/kei ..., 
237,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
238,Informative (Indirect),Deadly Joplin tornado could cost $3 billion - May. 24 2011: http://t.co/9aE9HoU via @addthis, 
239,Personal only,please pray for the tornado victims.. PLEASE.., 
240,Informative (Direct),We've raised $25000 in donations tonight for #Joplin. Our viewers are so generous. It feels great to help those in need., 
241,Informative (Direct or Indirect),Softball size hail possible in Parker CO storm. along with Tornado threat, 
242,Informative (Indirect),6:56 -- Western Tulsa Warning is under a severe thunderstorm warning... but not a tornado warning., 
243,Informative (Direct or Indirect),6:56 -- Western Tulsa Warning is under a severe thunderstorm warning... but not a tornado warning., 
244,Personal only,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come?13 13 13 13 13 13 13 13, 
245,Informative (Direct or Indirect),Tornado warning needs to be issued for Okfuskee #Oklahoma! #OKWX, 
246,Informative (Direct or Indirect),Death toll in #Joplin #tornado is 124 1500 people still unaccounted for., 
247,Informative (Direct or Indirect),Faced with multiple casualties follow these tweets for triage  #1stAid4 #okwx #Joplin, 
248,Informative (Indirect),Google Street View's the Only Proof This Tornado-Destroyed Block Ever Existed [Image Cache] http://tinyurl.com/3bv734r, 
249,Informative (Indirect),Watching devastation from tornado in Joplin MO. So many disasters this year...floods earthquakes tornadoes. Many praye ..., 
