,instruction,tweet_no_rt,type_of_message
63,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
64,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
65,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
66,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
67,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
68,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
69,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
70,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
71,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
72,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
73,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
74,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
75,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
76,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
77,"names a structure, road, service, line, etc. that is not working or has been damaged",Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,"Informative: damage (building, road, lines, etc.)"
78,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
79,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
80,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
81,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
82,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
83,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
84,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
85,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
86,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
87,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
88,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
89,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
90,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
91,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
92,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
93,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
94,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
95,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,"Informative: requests donations of money, goods, or free services"
96,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
97,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
98,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
99,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
100,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
101,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
102,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
103,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
104,indicates who has (or how many people have) been injured or dead,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,Informative: casualties (people injured or dead)
105,warns about a potential hazard or advices what to do,#apps First-person account of emergency hospital evacuation in NYC after Sandy power outage http://t.co/ARJk8gpD,Informative: caution or advice
106,warns about a potential hazard or advices what to do,#apps First-person account of emergency hospital evacuation in NYC after Sandy power outage http://t.co/ARJk8gpD,Informative: caution or advice
107,warns about a potential hazard or advices what to do,#apps First-person account of emergency hospital evacuation in NYC after Sandy power outage http://t.co/ARJk8gpD,Informative: caution or advice
108,warns about a potential hazard or advices what to do,#apps First-person account of emergency hospital evacuation in NYC after Sandy power outage http://t.co/ARJk8gpD,Informative: caution or advice
109,warns about a potential hazard or advices what to do,#apps First-person account of emergency hospital evacuation in NYC after Sandy power outage http://t.co/ARJk8gpD,Informative: caution or advice
110,warns about a potential hazard or advices what to do,#apps First-person account of emergency hospital evacuation in NYC after Sandy power outage http://t.co/ARJk8gpD,Informative: caution or advice
111,"names a structure, road, service, line, etc. that is not working or has been damaged",Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,"Informative: damage (building, road, lines, etc.)"
112,"names a structure, road, service, line, etc. that is not working or has been damaged",Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,"Informative: damage (building, road, lines, etc.)"
113,"names a structure, road, service, line, etc. that is not working or has been damaged",Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,"Informative: damage (building, road, lines, etc.)"
114,"names a structure, road, service, line, etc. that is not working or has been damaged",Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,"Informative: damage (building, road, lines, etc.)"
115,"names a structure, road, service, line, etc. that is not working or has been damaged",Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,"Informative: damage (building, road, lines, etc.)"
116,"names a structure, road, service, line, etc. that is not working or has been damaged",Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,"Informative: damage (building, road, lines, etc.)"
117,"names a structure, road, service, line, etc. that is not working or has been damaged",Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,"Informative: damage (building, road, lines, etc.)"
118,"names a structure, road, service, line, etc. that is not working or has been damaged",Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,"Informative: damage (building, road, lines, etc.)"
119,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
120,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
121,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
122,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
123,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
124,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
125,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
126,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
127,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
128,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
129,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
130,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
131,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
132,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
133,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
134,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
135,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
136,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
137,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
138,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
139,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
140,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
141,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
142,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
143,indicates who has (or how many people have) been injured or dead,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Informative: casualties (people injured or dead)
