,type_of_message,category,text_no_rt,type,user
25,Look at this web site/page,Informative (Indirect),"GET THIS NEWS: ""One of the biggest storms of our lifetimes is unfolding right now."" http://t.co/GKrfn4Qf",Information Source,DigitalDDynasty
26,Look at this web site/page,Informative (Indirect),hurricane #Sandy dashboard for #NYC http://t.co/F1H6cWCh created by @melanarchy #graphs #weather,Information Source,edgar
27,Look at this web site/page,Informative (Indirect),Cool collection of webcams to provide a high-and-dry look at Hurricane Sandy http://t.co/BSg6NwXP via @USATODAY,Information Source,eldavixxl
28,Look at this photo or these photos,Informative (Indirect),BBC News - In pictures: New York flooded by Tropical Storm Sandy http://t.co/aCsL511x,Information Source,Elysium_UK
29,Look at this video or these videos,Informative (Indirect),VIDEO: Timelapse video shows Sandy's assault on NYC and the moment the lights went out. http://t.co/k4hRRVrC,Information Source,Eric_Kanavathi
30,Look at this photo or these photos,Informative (Indirect),Some dramatic photos of storm damage: http://t.co/9rznNcKy,Information Source,foulknews
31,Look at this photo or these photos,Informative (Indirect),Breathtaking view of #Sandy from space.. On the ground places like Atlantic City in a flood zone -&gt; 1 to 5 ft water depths reported!,Information Source,Gary_Archibald
32,Look at this photo or these photos,Informative (Indirect),#Sandy - jetskier down Battery Park #NYC #newyorkcity vid soon youtube - OpieRadio http://t.co/wRmvMA5m,Information Source,GaryJ06
33,Look at this video or these videos,Informative (Indirect),Watch this amazing Hurricane Sandy time-lapse video that shows the moment the lights went out in NYC: http://t.co/QDfCfmgD,Information Source,GidgetWA
34,Look at this photo or these photos,Informative (Indirect),Eery images from the empty #NYC subways - http://t.co/fPNelP3M #sandy,Information Source,iamonlynadine
35,Look at this photo or these photos,Informative (Indirect),Heftig.... #sandy RT @frischkopp: Wahnsinn! The Most Shocking Photos After the Devastation of Hurricane Sandy http://t.co/Xw5m59H8,Information Source,ihbrune
36,Look at this web site/page,Informative (Indirect),Hurricane Sandy Shows We Need To Prepare For Climate Change Cuomo And Bloomberg Say http://t.co/DfDc4rkI via @HuffingtonPost,Information Source,Jelani_Jones
37,Look at this web site/page,Informative (Indirect),LIVE: US President @barackobama arrives in Atlantic City New Jersey to inspect damage caused by#Sandy http://t.co/H9FXzHLQ,Information Source,julieragolia
38,Look at this photo or these photos,Informative (Indirect),Wow! RT @AlexJamesFitz: RT @weeddude: Photo: View of crane on W 57th street through a telescope http://t.co/E46e2sSi (@cmwdotme) #NYC #Sandy,Information Source,JustJay74
39,None of the above,Informative (Indirect),Mortgage servicers don't need approval from @fanniemae to grant disaster relief forbearance http://t.co/LeyrkpRO #Sandy,Information Source,KYWeise
40,Look at this photo or these photos,Informative (Indirect),Reader Photos Show Hurricane Sandy's Effects So Far http://t.co/RpZrXIUT,Information Source,LarchmontDV
41,Look at this video or these videos,Informative (Indirect),#Sandy - jetskier down Battery Park #NYC #newyorkcity vid soon youtube - OpieRadio http://t.co/wRmvMA5m,Information Source,memeseeker
42,Look at this video or these videos,Informative (Indirect),Created a timelapse of hurricane #Sandy passing through 42nd & 10th New York http://t.co/N188sBX0,Information Source,migueldeicaza
43,Look at this web site/page,Informative (Indirect),Nice RT @Slate Awesome interactive #Sandy map from Google pinpointing emergency shelter traffic conditions and more: http://t.co/8QvR3C6u,Information Source,MJ_Tom_Skoch
44,None of the above,Informative (Indirect),Obama lands in Atlantic City New Jersey to observe #Sandy damage -ABC,Information Source,muntakadabo
45,Look at this photo or these photos,Informative (Indirect),"Damn!RT @fcfortune: RT @iamsiree: RT @damnitstrue: This photo of #Sandy looks straight from ""The ... http://t.co/El0JSpLI",Information Source,Noks009
46,Look at this photo or these photos,Informative (Indirect),Hurricane Sandy from Space http://t.co/LQflUgKr,Information Source,olwynf
47,Look at this photo or these photos,Informative (Indirect),If you haven't already seen that amazing pic of #NYC with #Sandy coming look now http://t.co/jEaP5n9e,Information Source,ooleilaa
48,Look at this video or these videos,Informative (Indirect),In stunning footage filmmaker for NYC's @MTAInsider shows disastrous effects of Sandy on city's transportation system http://t.co/L6l3QiRv,Information Source,peterknegt
49,Look at this photo or these photos,Informative (Indirect),Memorable Sandy photos shared by NYC bystanders from last night http://t.co/NAxcI7Zl h/t @lheron #Sandy,Information Source,pgMila
50,Look at this web site/page,Informative (Indirect),"NASA Image of Sandy --Experts Ask: """"Is a 'Hypercane' Possible"""" http://t.co/E0SHEF6n",Information Source,PTTU
51,Look at this photo or these photos,Informative (Indirect),This @NYTimes graphic of Sandy damage is outstanding. This is what the future of news looks like: http://t.co/byIERmSV,Information Source,pvt_idaho
52,Look at this video or these videos,Informative (Indirect),Full uninterrupted coverage at http://t.co/RqidCs7W #sandy #sandy nyc,Information Source,QFinnerty
53,Look at this video or these videos,Informative (Indirect),Absurd. Looks like Titanic MT @BloombergTV: What do damaged NYC subways look like inside? WATCH this dramatic footage: http://t.co/5vldTf3m,Information Source,RebeccaShabad
54,Look at this video or these videos,Informative (Indirect),What do damaged NYC subways look like inside? WATCH this dramatic MTA footage: http://t.co/7BX9dVx1,Information Source,Rezar14
55,Look at this video or these videos,Informative (Indirect),The most impressive pics and videos of Hurricane Sandy from space http://t.co/TWKK0DtX,Information Source,safetylanguage
56,Look at this photo or these photos,Informative (Indirect),BBC News - Sandy: President Obama visits New Jersey http://t.co/W4D85xzz,Information Source,sammy29c
57,Look at this photo or these photos,Informative (Indirect),Eery images from the empty #NYC subways - http://t.co/fPNelP3M #sandy,Information Source,sempa14
58,Look at this photo or these photos,Informative (Indirect),Here's the latest amazing and totally not-faked photo of #Sandy approaching NYC: http://t.co/eg7kzUQX,Information Source,Sjosz
59,Look at this video or these videos,Informative (Indirect),@theribman You should check out this webcam on top of the Statue of Liberty http://t.co/DDNXiGKP - See n hear #Sandy,Information Source,SlowFoodKitchen
60,Look at this video or these videos,Informative (Indirect),A time-lapse of the New York City sky during #Sandy. WATCH: http://t.co/0OX5cPzU /via @TheAtlantic @cubfancurt,Information Source,st3v3_h
61,Look at this web site/page,Informative (Indirect),CORRECTION: My next update on NYC's response to #Sandy is at 10 am (10/30). Watch live at http://t.co/pzWEzMcp,Information Source,StevieKnicks21
62,Look at this photo or these photos,Informative (Indirect),Times Square in #NYC has been abandoned because of hurricane #Sandy. The lights are still shining though. http://t.co/t88apVoO,Information Source,SydooEoo
63,Look at this web site/page,Informative (Indirect),Awesome interactive #Sandy map from Google pinpointing emergency shelter traffic conditions and more: http://t.co/aT1ptvFP,Information Source,thomaspower
64,Look at this photo or these photos,Informative (Indirect),25 Incredible Pictures Of Hurricane Sandy's Destruction In New Jersey http://t.co/puT2dsID via @buzzfeed,Information Source,tim_schoenfeld
65,Look at this photo or these photos,Informative (Indirect),Lots of fake storm photos are circulating online but this one has been confirmed as authentic #Sandy http://t.co/mxQmxT03,Information Source,TolgaDemirSTHLM
66,Look at this web site/page,Informative (Indirect),Hurricane Sandy and The Flood of Social Media Misinformation: Sandy came and went in D.C. without le... http://t.co/twOezsla #ForbesTech,Information Source,TopGuyMag
67,Look at this photo or these photos,Informative (Indirect),Frightening new radar pic of 'Hurricane Sandy' approaching east coast... http://t.co/Cv3xBGDV,Information Source,trouttp
68,Look at this web site/page,Informative (Indirect),Ominous storm clouds above the Statue of Liberty during #Sandy #NYC | http://t.co/1V8okhjd via @TIME,Information Source,USA_Movement
69,Look at this photo or these photos,Informative (Indirect),Photos: The Hurricane Sandy Aftermath: She came she saw she destroyed. http://t.co/mXyrs9AM #Sandy #P2 #Weather,Information Source,wilfredphua
