,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event,tweet_no_rt,user
20,True,Rainbow over today's #NYC sky offers glimpse of hope after Hurricane #Sandy. http://t.co/J5nsMeAB via @isardasorensen,sabz_babz
21,,#pisces Any individual learn how to repair this specific? http://t.co/Krr0MNuh,DeeBowman18
22,,No birth certificate or college transcript strings just @realDonaldTrump giving $5 million to people hit hard by Sandy. #ThanksDonald,Deezarunnin
23,True,GOP operative and Romney bundler spread false rumors about #Sandy in NYC last night. http://t.co/XLCKGN2L,RiskyLiberal
24,,Darla Tobin-Blakes wrote: Massive!! 60 million affected by Hurricane Sandy! #Prayers,soulsuiteradio
25,True,Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW,Trinitylaurel
26,,Our thoughts and well wishes are with our staff customers and friends in the path of Hurricane Sandy. Please stay safe!,HomeShowsTO
27,,Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,CarmenGranja
28,True,Please join us at http://t.co/ak3A5jPX in asking oil companies to shift their campaign donations to relief aid http://t.co/PhhAgo6p,SelectorD
29,,.....NYC never sleeps but Sandy cooled her down to zero! Het gewone leven begint langzaam weer....,DaanrunsNY2012
30,True,Even though nothing bad happened with the visit from Sandy I feel it is my obligation to have a celebratory pint....or 3,jordanday23
31,True,Whole town has no power damn it sandy,SamPollet12
32,,Having a whole week off of school ...well why thankyou sandy,letMEbGr8_
33,True,Ã¤Ã³Ã¬ The Knicks-Nets season opener at the Barclays Center could be postponed due to Superstorm Sandy Ã¤Ã³ÂNOOOO,MateoGarnic
34,True,Hurricane Sandy lashes US east coast in path to New York Ã¤Ã³Ã± live updates http://t.co/EBqnxV3T via @guardian,MatthewSimmonds
35,True,Impact: State by state: Sandy is winding down having spent much of its fury in the past two days crashing into ... http://t.co/IH7gCpgQ,danielkaravani
36,True,As for storm cleanup you women can take care of that while the men are out voting on November 6th. #MittStormTips #Sandy,Arijitanywhere
37,True,In the movie 2012 New York flooded. Now it's 2012 and New York is flooding. Retweet this and #PrayForUSA #Sandy,LoisTHINK
38,True,Obama y Romney frente a Ã¤Ã³Ã–SandyÃ¤Ã³Â» http://t.co/8rBxmezQ #MÃ­Â©xico,mariaso69882401
39,,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,ancabx3
40,,ÂŒÃ§MamÃ­Ã§! el huracÃ­Ã§n Sandy se llevo la ropa.,NeNeMunoz
41,True,I wonder if #Sandy is an October Surprise to make Nobama look more Presidential #illuminati #MKUltra #HAARP,tuttle88
42,True,#NYC skyline with no lights. #Sandy http://t.co/s965fLhH,Lankywood
43,True,Camera Obscura: Surveying Sandy's Damage in Red Hook Dumbo and Gowanus: Welcome back to Camera Obscura Curbed... http://t.co/g3wLSUPn,czaf
44,True,So my mom drove to eastern PA just in time for Sandy. She is crazy and I'm so glad because it means my 82-year-old Grammy has company.,noirbettie
45,True,It's nauseous and appalling seeing people praying against people in the US! This makes you pathetic and inhumane! Thank you. #Sandy #NYC,HaninSh
46,,Hurricane Sandy HOLD MA DICK!,Amblopic
47,,87% of Eastern Canada is not impressed with SandyÃ¤Ã³Â»s attitude,kimmy_eatworld
48,True,I really hope the storm doesn't damage the really really really nice houses. -Romney on Hurricane Sandy,UChangeLove
49,,My prayers go out to all the people being affected by hurricane sandy:(!,LeprechaunGleek
50,,Aparte del huracÃ­Ã§n dÃ­_ganme una Sandy que no sea un pinche desastre. NO PUEDEN.,Greciadr
51,,#NYsandy MT @rich1: Tech vols needed 4 #NYC. @NYTM & @nwc r hlping w #Sandy recovery. Sign up here http://t.co/aBuxQynu...,sahnetaeter
52,True,Halloween is going to be extra creepy in NYC tomorrow. Stay safe everyone #sandy #halloween,ramidearest
53,True,Stay strong New York! #Sandy,licatcher31
54,True,El huracÃ­Ã§n Sandy pone en emergencia un reactor nuclear y apaga otros tres en EEUU http://t.co/fWTd6Qrx,MontoyaInigo
55,True,i'm in la- sending good thoughts to everyone dealing w/ #Sandy RT @EdwinMontanez @JohnStamos are you in NYC for #Sandy or back out west?,EdwinMontanez
56,,Sandy: More than/or 54 people died. (USA). International crisis. Nargis: More than 80.000 people died. (Burma). No one cares.,galexymusic
57,True,We're prepared. RT @dadrain Bring it on #sandy @ Park Slope Brooklyn http://t.co/09DbKTIh,kdudish
58,,If the hurricane doesn't destroy the 'Jersey Shore' house the Death Star might have to finish the job. #Sandy,BMWKing1
59,,#apps First-person account of emergency hospital evacuation in NYC after Sandy power outage http://t.co/ARJk8gpD,psdwordpress
60,True,#NYMarathon will happen this year #Sandy #NYC http://t.co/7iNeuM6v,nyc8675309
61,,#SandyNYC misinformation - Superstorm Sandy Rumors Cost Congressional Campaign Manager His Job http://t.co/VKnzi2Pg (via @ABC),habfan1
62,,#ipad Must check this out - manufactured my personal day! http://t.co/RfdoOv0A,AmberVelez10
63,,Powerless New Yorkers Find Creative Ways to Charge Gadgets [PICS] http://t.co/1lQhjHC1 see more http://t.co/slEQWb4F,acmeformusic
64,True,Wow-so surreal!!! RT @RYOTnews: PHOTO SLIDESHOW &amp; UPDATE: #Sandy Aftermath on @instagram http://t.co/EP6EQfcR #NYC #NJ,sexocallaghan
65,,What if Gangnam Style was actually a giant rain dance and we've brought this on ourselves? #sandy,Pogod_ka
66,,i wish the hurricane sandy only go to @zachbraff house and fuck his ass till he die of dog shit rape,JTbattram
67,True,WOW can't believe sharks are swimming the streets/yard of NYC/New Jersey. ScaryÃ“Â‹ÂˆÃ“Â‹Âˆ keep yourselves safe guys #Sandy http://t.co/pjHbb2v9,haeIena
68,True,Obviously Sandy wasn't listening when Obama said he was going to stop the rise of the oceans.,keder
69,,Breaking: Sandy Makes Landfall in NJ http://t.co/4VE8aclK,PaulCubbyBryant
70,True,@SportsSturm Hey Bob can you ask @bracketdan now that there are 39 American deaths does Sandy count as a major storm?......,Granbury_Rob_M
71,,@ContrerasRafael #desastre #Sandy #NYC amigo yo bien gracias a Dios y he tenido luz! :),ArletteRod
72,True,#Ouragan #Sandy #Requins #NYC #2012 http://t.co/oSJfADfi,Blazy_B
73,,Sandy - What Meteorologists Said on October 22 (a week before the historic storm) http://t.co/5GU639tq,Dopplertom
74,,"#NYPD calling for more cops people ""breaking into all stores"" around Mermaid Ave. #crime #nyc #sandy",aiwicollective
75,True,My next update on NYC's response to #Sandy will be at 11 am (10/30). Watch live at http://t.co/rK7NHPe6,BookJo
76,True,If people choose to ignore professional advice on Hurricane Sandy then I have absolutely no sympathy for them because they're clearly idiots,j_saville1
77,True,The Statue of Liberty right now - http://t.co/WaXBbZUc | #sandy,PirateJackie
78,True,Live Blog: Surreal scenes in the aftermath of #Sandy government response and more http://t.co/03MHqJFx,TigerRose78
79,,Boatos que o FuracÃ­Â£o Sandy Ã­Â© imortal e que nÃ­Â£o vai morrer no final.,darinhalopes
80,,Sandy wreaks havoc on a Houston Symphony concert but a violinist swoops in to save the day http://t.co/0uzfxA3W,culturemap
81,True,Soldiers guarding tomb of the unknown soldier as Hurricane Sandy rages. #America _Ã´Âˆ__Ã´ÂˆÂŸ_Ã´Âˆ__Ã´ÂˆÂŸ_Ã´Âˆ__Ã´ÂˆÂŸ http://t.co/UubuvplJ,WillFerrell7
82,,This guy walked for 2 miles to save a litter of kittens during #Sandy! http://t.co/jSn2f5oE,brokenwing2011
83,True,Take good care everyone. It's not over yet so be alert and stay safe. #Sandy,kchrissyharry
84,,@harryanxiety FGS SANDY GET IT TOGETHER,TomlinTouchMe_
85,True,HURRICANE SANDY: A double rainbow touches down in Manhattan this morning signaling an end to the stormiest of weather. http://t.co/lUSbBV4v,AlicePopkorn
86,True,Hope everyone near #Sandy is ok... &lt;3 from across the seas xx,ashnors
87,,EEUU vende mÃ­Ã§s pero http://t.co/JOzvTlzz,AlbaMoranteZar
88,True,Mayor of New York Michael Bloomberg says superstorm #Sandy has resulted in 18 deaths in NYC,channel1atlanta
89,,Someone called EMS today because he didn't like the bed the shelter gave him. Folks...i have no words. #Sandy,chanicebby
90,,Send Us Your Hurricane #Sandy Pics http://t.co/jilA0xUa,mashable
91,,To my loved One in NYC if you need me just let me know. I'm here for you. My prayers are with you in the aftermath of Hurricane Sandy.,ruestjacques
92,True,Bet into skynews waiting on hurricane t hit NYC #sandy,clairerosa23
93,True,#Sandy les mÃ­Â©dias en font-ils trop sur les USA et pas du tout assez sur HaÃ­Â¿ti ? Bcp de lecteurs @lemondefr le pensent https://t.co/cFTj7Qin,CarlaMauricio
94,,Yeeeeeaaahhh..... - Statue Of Liberty In Hurricane Sandy Photo Goes Viral In NYC Is It Real Or Fake? http://t.co/zItsPXxG,CheilaDiCapri
95,True,This is...unreal. Essentially the only building with power in #NYC right now is the Empire State Building. #Sandy http://t.co/ScVhG8qH,fazielabdul
96,,#godblessamerica #sandy,Michael_ZWSS
97,,Who the fuck is #Sandy ?,nickelsforNick
98,True,Bersih2 NYC habis kenak #Sandy storm itu gimana yak? Udah 100% full of water dah itu kota x.x,freakin_akbar
99,True,Question: say bikeshare wasn't delayed... would we have rad subway substitute or streets full of twisted metal? #sandy #nyc,CCWeatherby
100,,Whoa RT: @danielpetty Best of the wire photos from Hurricane #Sandy so far http://t.co/8Aehy8HT,EMSpeck
101,True,@weatherchannel must be making a killing on remnant revenue today. #sandy,USstormCenter
102,,#Sandy a puntico de llegar a NYC. Dios los proteja.,LuciaDLaMermour
103,True,You watching this #Sandy is fucking up #EmpireState,LivingstoneBoy
104,,5 Fake Hurricane Sandy Photos You're Sharing on Social Media - http://t.co/pKIqFZSD,MissFrancypants
105,True,.@RedCross blood banks are running low due to Hurricane #Sandy canceling blood drives. Find a bank here & donate: http://t.co/vfyILNRk,ohthewits
106,True,blueholdhole: Got my grandma out of the #LES. Headed back uptown. #hurricane #sandy #alphabetcity #aftermath http://t.co/VTZHeV5b,coldisthesea
107,,Bussed to NYC for another show. Hurricane Sandy has us on house arrest for 3 days and I lose my passport (dont tell Twila). Ouf what a trip,janelledoucet
108,True,#porn He has this kind of dick. He published my aged pics http://t.co/4UEtcCUE,JosephineBass14
109,,#teamautofollow VIDEOS/ ELLIE KEMPER TALKS MARRIAGE http://t.co/MxGdNCFT,TamekaAyers14
110,True,@F_Jrl I'm hungry w ma 3ndy akl o ma yw99lo 3shan Sandy elzft.,Ibraherpderp
111,,Presidential courage? Mitt Romney Refuses To Talk About FEMA After Hurricane Sandy Event http://t.co/qgfymEqF via @HuffPostPol,realglacier
112,True,#crazy pic of #hurricanesandy #sandy #statueofliberty #nyc #storm #damn #wow #rain #instago #photooftheday # http://t.co/6tY6oVa5,instapotd
113,True,People inside Hurricane Sandy are still blogging. I'd probably be doing the same.,BaBaowww_
114,True,Apparently a song called sandy wud soon be recorded,tholu_wale87
115,True,Everyone who throws YOLO around all the time better be outside when Hurricane Sandy hits. #toronto #storm #moneywheremouthis #2012,melsays
116,,1st Hurricane Sandy Then Arsenal being hammered by Reading & now Star Wars 7. Stay safe everybody its the start of the end of the world...,toonarmysean
117,,@piersmorgan you've survived Hurricane Sandy thankfully but currently seem to be struggling with Hurricane Reading!,Gazsmith22
118,,@titus_ndronicus Any chance you'd be down for doing a radio sesh at WREK Atlanta tomorrow? XL was gonna set something up but then #Sandy.,le_esperare
119,True,Rainbow over today's #NYC sky offers glimpse of hope after Hurricane #Sandy. http://t.co/NhQ4tvVn,JohnDeere4021
120,True,NYC & Sandy http://t.co/2Ycc8TE3,carlsalf
121,True,Gate C34 at LaGuardia Airport MT @JetBlue Recovering from Hurricane #Sandy http://t.co/rLSYyAHs,slaggyj
122,,Efectivamente ya estÃ­Ã§n todos listos en NYC para la llegada del HuracÃ­Ã§n #Sandy . ExpectaciÃ­_n mÃ­Ã§xima. http://t.co/6Wz4xKeB,jvc984
123,,World Vision Fundraiser's states their supplies damaged by Hurricane Sandy Why ?Bad management + waste of money having vulnerabile stores,jonoriver51
124,True,Superstorm Sandy in #NYC !! Pray for United states of America,kokooman
125,True,hurricane sandy you didn't do yo thang.,Thanushaas
126,True,Video: Hurricane Sandy damage at New York's South Ferry and Whitehall St subway station - @MTAInsider http://t.co/zMGGTSmX,beckyeezy
127,,No life. RT @ceexruocco: Someone really made a Hurricane Sandy Twitter page & tht shxt has 130k followers.,ReeseIsAmazing_
128,True,video confirmation that our LBI house is at least still standing. but the area is devastated. #LBI #sandy http://t.co/YhRdNtt9,therealjhump
129,,#AmericanApparel is receiving backlash over their latest promotion... Should the company apologize? #Sandy #RGV http://t.co/4LCLD9uN,hitmansfan
130,,MeteorÃ­_logos creen que Sandy tendrÃ­Ã§ efectos devastadores,marialeal2010
131,,Bloomberg says power could be out in parts of NYC for three days or more; 750000 currently going without. #sandy,leaflibrary
132,True,@piersmorgan Piersy go stand on the top of the Empire state building and start your waffling so all your hot air will deflect Sandy,Ueda_x
133,,@milkmaid58 @Anglopp: And they say the Irish are mad.....#Sandy #NYC http://t.co/gYQV0oB5,Anglopp
134,True,Sandy ain't real _Ã´Ã–__Ã´Ã–__Ã´Ã–_,ILoveYouChe__
135,,Sandy............Blow me...more important things like screaming at Arsenal FC,Danmlk
136,,#ThanksDonald RT @RealDonaldTrump I challenge all of my fellow billionaires to match my donation of $5M to Hurricane #Sandy relief efforts.,bulliestogo
137,True,This hurricane is starting to turn into Sugary Sweets Sandy as I now have a sugar high and tummy ache thanks to @Tabifit,MeatheadMilitia
138,,#CNN Trending in the U.S. Stick with us for #Sandy Coverage!,Van_Tieu
139,True,Storm Aftermath: Live Updates: Live updates from the aftermath of the storm. http://t.co/H7KqKURs,Fausto_Enrique
140,,_Ã´__ Sandy baby you're the one. You make the government so much fun _Ã´Ã«Ã³_Ã´Ã_ @megan__carter,kristen_cooper
141,,New Jersey's Oyster Creek nuclear power plant is the same design but even older than Fukushima Daiichi http://t.co/0izzziWY #sandy,AnonNCarolina2
142,,Omg theres 2 missing boys from sandy  they got swept away in the water ...,mcnbassford11
143,True,Gov. Cuomo: The Hudson River was literally pouring into the Ground Zero site. #Sandy #NYC,harrysea_
144,,Hurricane #Sandy #SafeHouse http://t.co/IECSmg5o,TheRealTBlake
145,True,"Sandy death toll climbs to 38; millions affected by storm's devastation: Editor's note: Click the """"Play"""" button ... http://t.co/SypLnUSw",carlossilva124
146,,If a tree falls in NYC and at least 50 people don't stop to Instagram it did the tree really fall? #sandy,XsandroXx
147,,Limited train service resuming in NYC after superstorm Sandy - CBS News: National GeographicLimited train servic... http://t.co/zUQZBRXT,kevinblackburnX
148,True,Rescatan personas de los techos de casas rodantes en #NuevaJersey http://t.co/g8N0GjQi #Sandy,Tatica_Rivas
149,,Very concerned about all my #NYC and #EastCoast friends. Stay safe out there!! Don't let #Sandy bully you!,AliceFawkes
150,,@EvanRizz what town are you talking about? Please everybody please tell us the town if you see power on. @jcp_l #sandy,chriswhalencpa
151,,MÃ­Ã§s de 175.000 personas estÃ­Ã§n sin luz en Nueva York. #sandy,ramondom70
152,,Dealing with the aftermath of Hurricane Sandy http://t.co/6D6Mtsl4,FreedomMortgage
153,True,How do you volunteer with @redcross to aid with results Hurricane Sandy,kryst10
154,True,@svmelb @istub Enig! Hadde ikke flere tegn igjen og det sÃ­Â« dermed ut som jeg konkluderte m at Sandy sikrer dette for Obama. Det gjÃ­ÂŸr d ikke.,AndersRomarheim
155,,GOP House candidate's campaign manager tried to spread panic w/ false rumors about Sandy on Twitter last night http://t.co/cX55lFxG,_BVM
156,,Hurricane Sandy Puts More Than $87 Billion Worth Of Homes At Risk http://t.co/S7JmYCnA,George_miles1
157,True,Things are getting pretty wild out here... #sandy #nyc http://t.co/XtxUuvVo,AndyParoff
158,,In the aftermath of Hurricane Sandy our thoughts are with the communities and our employees that have been affected by the storm.,1800flowers
159,,FOR EVERY 100 RETWEETS WE WILL BE DONATING $1000 TO HELP REBUILT COMMUNITIES DAMAGED BY HURRICANE SANDY. PLEASE RETWEET!!!,lynch_lexi
160,True,RT @UN: UNHQ in NYC is closed on Tuesday due to Hurricane #Sandy. More info here: http://t.co/0p90eZIa. Photo: http://t.co/vT8Wl9rX,andrea_id
161,,AYYY pool party tonight at your front door. Hosted by Hurricane Sandy! Music by Rain Drops & DJ Thunder #TurnUp,Everything1Hunn
162,,#Superstorm #Sandy Floods. Now Fire. A dozen homes burning in Rockaways. 200 Firefighters. 6 alarm blaze. LI house fires. Smell of gasoline,DebFeyerickCNN
163,True,Sandy-hit areas struggle to resume daily life - CBS News http://t.co/AAaToR0w #topstories,NewsjustForYou
164,,Guaoooo sustoooo!! RT @sahzdi: #IMPRESIONANTE esta foto del HuracÃ­Ã§n Sandy acercÃ­Ã§ndose a NYC ----&gt; http://t.co/l8ithKLq,LizettFernandez
165,True,Ã­_ldÃ­_rÃ­_cÃ­_ kasÃ›Â±rga Sandy'n aÂÃ´kÃ›Â±m.,nisayesilaraz
166,True,Sandy surgery & Starbucks in today's #IABCToronto Twitter News http://t.co/iNuow5W8,DonnaPapacosta
167,True,No me creo lo de los tiburones en las calles y el metro del Estado de NY tras #Sandy jamÃ­Ã§s en la vida!,Robertotj
168,,Por fin una foto real de lo que esta pasando en NYC con el huracÃ­Ã§n #Sandy http://t.co/bTHBr8sj,DiegoLDEPOR
169,,@AmberLynn_R you're welcome! Are u ok in hurricane sandy? Are you able to watch #DWTS?,IAmTinasongbird
170,True,#Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/QP8Tshoe,brookekbehr
171,,"The only """"Sandy"""" around here lately makes goalies puke and cry. @JustGoalie #whatstorm?",CrowsSports
172,,SUN CHARITY VOLUNTEERS ..Ushers in to post hurricane Sandy cleanup in Washington DC. #MQMUSA http://t.co/lnDZK3qy,KaleemAltafi
173,True,Lone Doofus Has Been Waiting 36 Hours For Next C Train http://t.co/CJPlWDB8 #Sandy,aconstantinople
174,True,Espectacular foto de Sandy desde la estaciÃ­_n espacial internacional (y esta vez no es fake es de @AstroMarshburn) http://t.co/zGw8Vz4J,RacheLBRoy
175,,While we continue 2 cover aftermath of #Sandy in US important to remember storm wreaked havoc in Caribbean killed 66ppl,luisanum6
176,,Apple Store gets sand bagged in the Meatpacking Dristict. #hurricane #sandy #nyc http://t.co/mfbG5fzz,ipordelante
177,True,I'm praying that all those terribly affected by #Sandy ... such a terrible storm!,elenatatay
178,,#nyc Absolutely no way. She draws it can!!! http://t.co/EK85jfof,LourdesRobles15
179,,Ã¤Ã³Ã¬@katiecouric: Halloween postponed & canceled in some areas due to #Sandy. How are you celebrating today trick or treaters??Ã¤Ã³Â,gonzalezmam
180,True,This is not real. New York doesn't look like this and there are people on the island... How exactly? #NYC #Sandy http://t.co/82hJytia,S500LAX
181,,HURRICANE #SANDY WEATHER http://t.co/fdQmbHRL,Brynna_C
182,,Everybody please be safe cause #hurricane #Sandy aint playn no games&gt; #philadelphia #philly #newjersey #Nj #newyork #nyc,johnjohnjanito
183,True,@BeanSunny #FEMA is so bad that #GOP are all saying great things about it dealing with #Sandy. #Churches giving #Bibles to homeless #useful,BertelsenK
184,True,I wish Ollie Williams could do live coverage of Hurricane Sandy,southpawhogue
185,True,Tech Tips: Mashable Media Summit Rescheduled Due to Hurricane Sandy http://t.co/HoJrWbGV,timlaytonllc
186,True,#NYC NBC4 is showing footage of a man in the ocean on a jet ski because evolution is incomplete #frankentunde #sandy,KevinInChains
187,True,Here's a close up photo of the broken crane ( due to Hurricane #Sandy ) in NYC that @FDNY & the NYPD responded to. http://t.co/mWFkRTNy,Daddy_319_SFD
188,,"#EnVideo Declaran como zona catastrÃ­_fica Ã­Ã§reas de Nueva York y Nueva Jersey afectadas por ""Sandy"" http://t.co/Tcv3M4uv",abp_tachira
189,True,#NYC life comes back...taxis traffic Sanitation Dept equipment cleans and FDR Drive opens (it was under 5ft of water last night) #Sandy,raluca3000
190,,UnfuckingbelievableMichael Brown ex-FEMA head has advice criticism for Obama re Hurricane Sandy http://t.co/iciOoIsX via @denverwestword,weRtroydavis
191,,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,beauMelany_
192,True,#TrueFact: RT@tedfrank: A half hour of CNN watching provides less information than reading a good set of Twitter feeds for 5 minutes. #Sandy,jay9761
193,True,@Cyntroe -we've had Sandy's Remnants Down here in The Lakes. Mid 30's Real windy....some snow w/sleet/rain.....,TheoE58
194,True,@JoshuaMorrowYR: how u today josh? That's her name really..we in nyc we made it thru sandy! Hw bout a RT?,myjfranco
195,True,MJ STORM UPDATE: CNN has sent least-loved reporter into waves at Atlantic City to die. This sacrifice must be made every major storm. #sandy,OhHeyJo
196,,In the film 2012 New York flooded in October; then the world ended. It's October it's 2012 and New York is flooded. #Sandy,DePharrella
197,,I hope everyone is okay in the part where Hurricane Sandy hit! #Sandy,sherly817
198,True,Live-Blogging Sandy http://t.co/Ic79lMdR via @storify,wojtekidd
199,,Ã¤Ã³Ã¬@peoplemag: #Sandy heroes! Nurses rescued newborns when the hurricane hit NYC and their hospital lost power http://t.co/Upb0fSRsÃ¤Ã³Â @kg1025,CaitlynGiannino
200,,S'il y a des inondations Ã­Ã¦ NYC il faut leur envoyer Fabrice EbouÃ­Â©. #Badoumtsssssssssss #Sandy,Neovasquez_
201,,If I were stranded in #NYC right now I'd be gathering as many speakers and amplifiers as possible and I'd nuke #REM 's endoftheworld #sandy,Juliosaurien
202,,I feel like everyone forgot about Halloween. That wench Sandy ruined it for everyone.,whatsz
203,,#Sandy : differentiating real from fake with @TheAtlantic http://t.co/GDPuwOiy,csgallego
204,True,But they were just calling to give me sandy updates #yikes,OliviaBourdeau
205,,#Sandy has already made the record books with lowest pressure. Be safe everyone in the east mainly RI PA NYC NJ. Steer clear of the coast,cupcaitss
206,,God cease Sandy. Bless those affected by the storm.,JESSaMOGUL
207,True,@tylercicardo aw tyler :((((((( is it cause of hurricane sandy?!?! or am i just being a dumb blonde lol?,arianaheaven
208,,My thoughts are with you NYC/East coast and everyone else that is being affected by hurricane Sandy,WereVagabonders
209,,http://t.co/38eAM45l Â™ÂƒÃ¸Ã¥Â™ÂƒÂ™ÂšÃ¸_Ã¸Â© Ã¸Ã‡Ã¸Ã‚Ã¸_Ã¸Ã‚ Ã¸Ã¥Ã¸_Â™_Ã¸Ã‚Â™ÃŠ Ã¸Ã‡Ã¸Â±Â™ÂƒÂ™ÂšÃ¸Â‡Ã¸Â© Ã¸_Ã¸Â±Ã¸Ã‚Â™_Ã¸Â© Ã¸_Ã¸Ã‡Ã¸_Â™ÃŠ Â™_Ã¸ÂµÂ™ÂšÃ¸Â±Â™ÂˆÃ¸_ #kuwait #saudi #sandy #sex #ksa #egypt #bahrain http://t.co/ZC5vdlfQ,m37261
210,True,This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/FACgp8ap #Sandy,ichniowskiENR
211,,What does he want from us??!!? #sandy RT @weasle81: looks like the east coast has more than #sandy to worry about!!! http://t.co/FHcR3rEt,___Realizing___
212,True,#Sandy killed 67 people in the Caribbean & left 200000 homeless in Haiti yet all news is focused on NY. Because the poor don't count right?,xo_inthemiddle
213,True,Google Crisis Map links to a great series of maps showing #Sandy power outages. http://t.co/ypuLd6DJ,sdlawsonmedia
214,,Not too much damage at all near me except for this billboard that took a spill. #sandy http://t.co/k4RNyqgx,WeatherGalCass
215,,Thank you Sandy for making thousands of ICONiacz bawl their eyes out on this day #RIPICONICBENCH _Ã´Ã–Ã_Ã´Ã–Â‚_Ã´Ã–Â©_Ã´ÃÃ®,g0ttal0vtheb0yz
216,,#sandy RT @NYScanner: Manhattan: FDNY at the One World Trade Center with a Crane on top of freedom tower broken.,jrwiese
217,,Hurricane Shaniqua would be a much better name than Hurricane Sandy,charlotteaggus
218,True,Created a timelapse of hurricane #Sandy passing through 42nd & 10th New York http://t.co/N188sBX0,glunardi
219,True,Rainbow over today's NYC sky offers glimpse of hope after Hurricane #Sandy. http://t.co/VgspdfMW,_Kay_Cee_xo
220,True,"My mom starts dancing & is like """"yeah sandy come get me"""" _Ã´Ã–Â‰_Ã´Ã–Â‰_Ã´Ã–Â‰_Ã´Ã–Â‰",TajStayFly
221,,Our continued prayers are with those affected by #Sandy. Support the Red Cross: Text REDCROSS to 90999 or visit http://t.co/oePuXjMo,Agent_Perryyy
222,True,Some breeze a rass blow outadoor. Wonder if Sandy waah touch Toronto so mi call out work tmrw. Sigh.,Jamrock_Prize
223,,Flooding & power outages continue to cause blood drive cancellations in areas Sandy impacted. Check http://t.co/wRlbuw6F for open sites,RedCrossGAR
224,True,@Global_Exc Declara Obama desastre en NY y Nueva Jersey suman 16 muertos en EU por paso de #Sandy http://t.co/n6NjsVc7 http://t.co/P1Eu1Hsb,hotelaquavi
225,,Praying for everyone effected by #sandy ! God bless! http://t.co/Qjlc4ujR,alanikengah
226,,"@pablomckinney Viendo TV de nuestro paÃ­_s. Que cursis algunos """"comunicadores"""" tratando de manipular a la comunidad de NY con Sandy.",Ritmo524
227,True,Hurricane Sandy is wet and she's blowing. #Whore,denzy13
