,type_of_message,category,text,screenname
17,Look at this photo or these photos,Information source,DivaDOD: My cousin ran outside his tornado shelter in Oklahoma City to take this picture.:    submitted by  Neug... http://bit.ly/j8zwR4,IHateDivas
18,None of the above,Information source,@Public_Interest Is it just me or does it appear that there are multiple vortexes in that new Ringgold tornado footage?,joelabarker
19,Look at this web site/page,Information source,Massachusetts tornado: What are deadly tornadoes doing way up in ...: At least two tornadoes tore through commun... http://bit.ly/lsaEFa,billweckos
20,Look at this photo or these photos,Information source," @jjeffrose: Wow! Crazy pic from Joplin, MO. Ã¢â‚¬Å“@thegoodhuman: Google Street View before and after shows tornado's true destruction http ...",MoneySmart
21,Look at this web site/page,Information source,#Joplin http://t.co/tTpJSrw,KevinSchwaller
22,Look at this web site/page,Information source,Tornado sucks up a river.  http://is.gd/tutjk0,PenguinSix
23,Look at this web site/page,Information source," @lifechurchtv: See an update of how LifeChurch.tv is partnering with Tornado Relief in Joplin, Oklahoma City and Birmingham. http://y ...",AmoMiPanama
24,Look at this web site/page,Information source,Joliet councilman organizes tornado relief collection - Herald News http://t.co/PqMTvXw via @AddThis,jolietdave
25,Look at this video or these videos,Information source,VIDEO: True Faith Shown During Joplin Tornado http://tinyurl.com/3gcd65n #charismamagazine #charisma_magazine,faithfulnews
26,Look at this web site/page,Information source,Whoa!   @rob_sheridan: This is what happens when a tornado crosses a river. Holy shit. http://bit.ly/lSatyy - via @leviathant,Josh_Hamrick
27,Look at this web site/page,Information source,"Experience a 360 degree view of a 250mph tornado in Nature Unleashed: Inside Natural Disasters, opening 5/28. www.CTScienceCenter.org/nature",CTScienceCenter
28,None of the above,Information source,@JacquiJeras Massachusetts had a big tornado,sexyjohnstofko
29,Look at this web site/page,Information source, @LOSewardII: MO Gov. Jay Nixon on stage at #Joplin community memorial http://lockerz.com/s/105952239,Sam_Hartle
30,Look at this web site/page,Information source,Missouri Facebook Safety bill awaiting signature would have thwarted #Joplin teachers helping children after #tornado http://bit.ly/mEM2zu,jondresner
31,Look at this photo or these photos,Information source, @CBSNews: Documenting the devastation: photos of #Joplin from @CBSEveningNews http://bit.ly/lfgBYO & @ChrisWragge http://bit.ly/iMufk4,Donna_Chan
32,Look at this web site/page,Information source, @azsportsguy: Tornado approaching Arlington Stadium.  They are RUSHING fans into the dugout walkway http://www.myfoxdfw.com/subindex/ ...,gpahia
33,Look at this video or these videos,Information source, @lindsayschallon: This video (even though it's all audio) is the most chilling thing I've ever seen. Made me tear up. #joplin #tornad ...,JessieBradley92
34,Look at this photo or these photos,Information source,Incredible Images Of Massachusetts Tornado From Space! http://bit.ly/mkOpsW,MarcWeinbergWX
35,Look at this video or these videos,Information source,Video of tornado crossing over I-91 in Springfield  http://bit.ly/lhtczm,newsceci
36,Watch this TV channel (or: I am watching this channel),Information source, @Faith_Ford: I've just been told by a fellow tweeter that all should watch weather channel. Massive tornado outbreak!,JaneLeeves
37,Look at this video or these videos,Information source, @elchascas:  @bdosalinas: Video: El mini-tornado en Villarica: http://youtu.be/up3UrNI4KuE / Heavy!,nataliahm
38,Look at this video or these videos,Information source,Inside the Missouri tornado [video] http://is.gd/CYdk9N http://bit.ly/jrJcIi,BailHeroHonda
39,Look at this web site/page,Information source,@springfieldNL see active TWEAK the TWEET .xls  http://t.co/zIEUZa3 and the GEO TAG MAP map http://t.co/3HPSa40 #joplin #relief #MONeeds,goMarielle
40,Look at this web site/page,Information source,Obama vows national response to Missouri tornado (Reuters) http://goo.gl/fb/BHRSx,infinite411
41,Look at this web site/page,Information source,BREAKING NEWS: We are streaming KTVI Fox 2 coverage of St. Louis tornado LIVE on our weather blog. http://bit.ly/mKYcGr -ES,lgibbs
42,Look at this photo or these photos,Information source,"I posted 12 photos on Facebook in the album ""Joplin Tornado Relief FP Volunteers (May 30, 2011)"" http://fb.me/KJEsAEk0",fpcarthage
43,Look at this web site/page,Information source, @vpaige: MT @post2it: Cantor denies help 4 tornado victims until budget cut http://bit.ly/ifCrsz but of course not oil subsidies http ...,drugmonkeyblog
44,Look at this video or these videos,Information source, @internetguru7: Dramatic water tornado appears off Australia coast: Waterspout creates fountain of . http://bit.ly/lCMy91 #Telegraph #UK,KarenVizer
45,Look at this web site/page,Information source,Tornado in near Guyer HS in Denton: http://lockerz.com/s/104534117,Juice___
46,Look at this video or these videos,Information source,April's tornado outbreak animation http://chilp.it/901982,jtt1560
47,Look at this video or these videos,Information source,Check this video out -- Water tornado blasts Australia coast http://t.co/nQqZMEG via @youtube,tehrangeles11
48,None of the above,Information source, @AmberAlert4Pets: Use code storm2011 if you #lost a #pet in a #tornado ravaged area. Register your #lostdog #lostcat #lostpet here: h ...,marshbirder
49,Look at this web site/page,Information source, @TimesFreePress: Former Vol charged with stealing a refrigerator from a tornado-damaged home. http://bit.ly/ljtjEC #cha,ChattParkRec
50,Look at this web site/page,Information source,"Dog with Two Broken Legs Survives Tornado, Crawls Home to Find Family http://ti.me/loaUWX via @TIMENewsFeed",ayesha_mistry
51,Look at this web site/page,Information source,Ã£â‚¬ÂdisasterÃ£â‚¬â€˜Ã§ÂÂ½Ã¥Â®Â³Ã£â‚¬ÂÃ§ÂÂ½Ã©â€ºÂ£(Ã¥ÂÂÃ¨Â©Å¾)A tornado is one type of natural disaster. [PC]http://bit.ly/gpiZqTÃ¯Â¼Â»MBÃ¯Â¼Â½http://bit.ly/fuzceH #toeic,toeic_base
52,Look at this photo or these photos,Information source," @geoeye: New @GeoEye High Resolution Imagery Released of Joplin High School (post-tornado) Joplin, Missouri http://bit.ly/ilrVp8",GeologyDave
53,Look at this web site/page,Information source,On the Business Side: This may be the costliest ##tornado & storm season http://bit.ly/mrMybP,temphousing
54,Look at this video or these videos,Information source, @kmbc: TORNADO NEAR KC: LIVE BLOG AND VIDEO: http://livewire.kmbc.com/Event/Wednesday_Severe_Weather_Outbreak,ernby
55,Look at this web site/page,Information source, @AGCofA: NY Times looks at how reconstruction work in tornado- and flood-devastated areas will temporarily boost construction...http: ...,erock131
56,Look at this web site/page,Information source,"Update: Local doctors, deputies respond to tornado-torn Joplin - Houston Herald http://bit.ly/jHYcTK",PetShopPlace
57,Look at this web site/page,Information source," @borntorunnergrl: Sunrise 360 view #Joplin. a play set still stands, but homes are in piles http://occip.it/pt51gkka http://twitpic.c ...",silvermaneman
58,Look at this video or these videos,Information source," @stormchaser4850:  @Cuevman81: Surveillance video released from a home of Joplin, MO tornado http://youtu.be/OrnRSSHz4dU",INstormchaser
59,Look at this web site/page,Information source,Tornado MA Springfield 2011 Tornado June 1 2011 http://tinyurl.com/6femsz7,JThol
60,None of the above,Information source,"TUCSON BBB: How to Tornado-Proof Your Home[Sun, 24 Ap] http://dlvr.it/TQcJC",TucsonEA
61,Look at this video or these videos,Information source,Close-up video of a tornado cutting across the Connecticut River http://itv.co/kb1LLS,itvnews
62,Look at this web site/page,Information source, @todayshow: How you can help people of #Joplin: http://tinyurl.com/4yaklff,FirstGiving
63,Look at this video or these videos,Information source, @Scobleizer: Horrific new footage of the tornado that hit Joplin from a storm chaser. http://www.youtube.com/watch?v=EfdK6H9d6J0 Natu ...,oldsage_fl
64,Look at this photo or these photos,Information source, @itn: See amazing pictures of a water tornado blasting across the ocean off the east coast of Australia... http://bit.ly/l0CprB,feker
65,None of the above,Information source,"Earthquakes, Floods, Tornado, HurricanesVolcano and Tsunami. Last Solar Wave form the sun to knock out the Power in the whole world in 2012",Dereknhouse
66,Look at this web site/page,Information source, @MoDemParty: Sen. Claire McCaskill speaks to her Senate colleagues about the effects of the Joplin Tornado http://youtu.be/bOa_MHyVyLY,ErbanLady
67,Look at this web site/page,Information source,Thoughts and prayers with those in #Joplin.  Here's lots of info on how to help or locate victims in #Joplin   http://bit.ly/je3Nq9,AFPSTL
68,Look at this video or these videos,Information source, @robinmeade: PETRIFYING video reportedly captures screams & prayers of pple riding out #Joplin #tornado in #fast...  http://ping.fm/ZlBNj,atlanta_nba_227
69,None of the above,Information source,"We're on Severe Weather Watch @ #WGN! @TomSkilling at 5p with the latest on Tornado Watch, thunderstorms...",dianabrodeurWGN
70,Look at this web site/page,Information source, @weatherchannel: The #Joplin #tornado is now among the top 10 deadliest tornadoes in U.S. history.  Updated perspective:  http://wxch ...,mikeyA320
71,Look at this web site/page,Information source, @MoGov: Health professionals in #Missouri can register to volunteer during a disaster or emergency. http://on.mo.gov/jxHt1W #Joplin,ColumbiaColg
72,Look at this web site/page,Information source,@koamnews and @NewsAt9 will show you a new shelter for #Joplin residents http://twitpic.com/5bjzjy,at_pitt
73,Look at this web site/page,Information source,#Joplin #tornado Releasewhite balloon for Will Norton todayhttp://rturner229.blogspot.com/2011/06/release-white-balloon-for-will-norton.html,rturner229
74,Look at this web site/page,Information source," @mutigersdotcom: Prayers out to #Joplin. If you want to or need help, check out http://ow.ly/50IrO or call 2-1-1 (800-427-4626). Dona ...",SJKauffmann
75,None of the above,Information source," @TWCBreaking: See the expanded ""high risk"" #tornado threat area on our clickable map.  Is your city in it?  http://wxch.nl/l4qRWg",FutureKID95
76,Watch this TV channel (or: I am watching this channel),Information source," @BreakingNews: Spotters confirm a tornado on the ground moving toward Joplin, Mo., where a twister on Sunday killed 124 people - CNN",Campjay76
77,Look at this web site/page,Information source,Use code storm2011 if you #lost a #pet in a #tornado ravaged area. Register your #lostdog #lostcat #lostpet here: http://ow.ly/5dAN3,AmberAlert4Pets
78,Look at this photo or these photos,Information source, @NASA Image from space of the scar across western Massachussetts from the June 1 tornado (from Landsat 5). http://go.usa.gov/DGp,karolnowickipl
79,Look at this web site/page,Information source,WATCH: NASA's Incredible Tornado Footage From Space http://huff.to/lYGYqY via @huffingtonpost,AGTrupp
80,Look at this photo or these photos,Information source, @lswestonline: Check out lswestonline.com for pictures and video about the tornado in Joplin shot only hours after the devastation oc ...,bob_onTV
81,Look at this photo or these photos,Information source,"Chico, CA tornado http://twitpic.com/52jvx0",HockeyTarheel
82,Look at this video or these videos,Information source,Incredible video of tornado this evening moving east of Oklahoma City...from KOCO-TV helicopter which was shooting... http://fb.me/WByB6Mkr,weathermankeith
83,Look at this web site/page,Information source, @USMC: Marine protects family from #Joplin #tornado in home closet http://cot.ag/lg2hve #Marines,JTmusician77
84,Look at this photo or these photos,Information source, @slmandel: If all the tornado wreckage photos haven't gotten to you yet ... this before-and-after in Joplin most certainly will http: ...,cmattsiemer
85,Look at this video or these videos,Information source,WATCH: Dog Caught In Tornado Crawls Home On Broken Legs Nearly 3 Weeks Later http://dlvr.it/T0qk4,NewsOnGreen
86,Look at this web site/page,Information source,"President Obama tours tornado devastation in Joplin, Mo. http://bit.ly/lxTj0f",OregonianPol
87,Look at this web site/page,Information source,Obama tours tornado-ravaged Joplin : http://t.co/Y76nACG via @cbsnews,StPeteTerry
88,Look at this web site/page,Information source," @JoelYoung_WABG:  @WTVA_JWatson ""@WxDan: In case you need a reminder about what the winds inside an EF-5 tornado can do... http://i ...",The_Matty_Ice
89,Look at this video or these videos,Information source,MTV Riff Raff Ã¢â‚¬â€œ Texas Tornado http://goo.gl/fb/yT2YP #video,worldpopvideos
90,Look at this web site/page,Information source,Obama joins day of prayer in tornado-ravaged city - U.S. President Barack Obama heads to the southwest Missouri city... http://ow.ly/1cW3rA,CWN_Sales
91,Watch this TV channel (or: I am watching this channel),Information source, @TWCBreaking: We are streaming a #tornado live  from Grady Co. OK here and on TWC TV:  http://wxch.nl/lsSwPM,juliannamkh
92,Look at this web site/page,Information source,"HEALESS: As Cantor's tornado comments show, that's the word for today's Republicans http://bit.ly/jWah8I",abridgeforth
93,None of the above,Information source,My raw Twitter feed of incoming Joplin information may be found on this Twitter list:,
94,Look at this photo or these photos,Information source,@TXTF1 canine teams continue search in #Joplin today. WSJ Article: http://on.wsj.com/llh6f8 New Photos http://fb.me/WSyN0Pru,teextweet
95,Look at this video or these videos,Information source, @thedailybeast: Exclusive New Video: Storm-chasers miss #Joplin tornado by mere seconds. Watch their harrowing escape http://thebea.s ...,dailybeasttv
96,Look at this web site/page,Information source,@Karen_Eden Did u find anything out yet? Heard today CNN has a link on their site. #Joplin,iHiredMe
97,Look at this web site/page,Information source,Way to go!  @HawaiiRedCross HI Red Cross volunteers return from helping tornado & flood victims. Mahalo volunteers! http://bit.ly/jR8NFw,LisaSmarty
98,Look at this web site/page,Information source,Live updates: Western Mass. tornado recovery effort underway Thursday: Continually-updated news and information ... http://bit.ly/ktFECZ,masslivenews
99,Look at this video or these videos,Information source,Dog crawls home with 2 broken legs. http://www.bing.com/videos/watch/video/lost-in-tornado-dog-crawls-home-with-two-broken-legs/6b2d25o,vegansplendor
100,Look at this video or these videos,Information source,NOAA Movie of Joplin Tornado in 3-D Radar Data http://ow.ly/5cdvP,Accu_Jesse
101,Look at this web site/page,Information source, @brianstelter: If you're just waking up: the NYT's main story out of #Joplin: http://t.co/mkWKgSS & my sidebar about 1 family: http:/ ...,ArielCBlack
102,Look at this web site/page,Information source,"Tolliver on coach, Rubio, labor issues and Joplin tornado | StarTribune.com http://t.co/WyEZXoB",nevealane
103,Look at this web site/page,Information source," @TWCBreaking: Spotters confirm at least 1/2 mi. wide #tornado near Longdale, OK.  TAKE COVER in Fairview, Orienta.  Radar:  http://wx ...",pbblue
104,None of the above,Information source," @EnewsWorld: Obama to attend Joplin memorial service: US President Barack Obama is set to inspect tornado damage in Joplin, M... ht ...",kellsonline
105,Look at this web site/page,Information source, @SamsClubSusan: #samsclub in #Joplin is open. Additional supplies arriving. No membership required. Follow 4 updates #Tornado #Mo,Jeannie_Hartley
106,Look at this video or these videos,Information source,Pretty cool story about a dog with two broken legs crawling back home after a tornado carried him away. http://fb.me/xEP9YjCk,PaulandAl
107,Look at this web site/page,Information source,'Major Tornado Outbreak' Forecast for US Midwest Including Kansas City - Bloomberg http://su.pr/33cUMi,Marsha8346
108,None of the above,Information source,Just saw the story of the dog who dragged himself home after a tornado with two broken paws. Too precious.,samanthajoyx3
109,Look at this web site/page,Information source, @techreview: Record Tornado Season Caused by Climate Change? http://bit.ly/irPWsI,pccarencure
110,Look at this photo or these photos,Information source, @breakingweather: A compilation of gripping and heartbreaking photos of the #Joplin aftermath: http://ow.ly/52GB5 #tornado,MunkFOD
111,Look at this web site/page,Information source,"Lost Tornado Animals TUSCALOOSA, AL: Is this your dog? Found in the North River area.  You can help this pup find hi... http://ow.ly/1cWwN4",happydawgblawg
112,Look at this web site/page,Information source," @savethechildren: #Tornado, Hurricane & Wildfire season is upon us. Help us protect U.S. children in harm's way: http://j.mp/m37DPS # ...",ChristopherChaw
113,Look at this web site/page,Information source,"@NSSL: The research phased array radar captured a long lived tornado on May 24, 2011. Read about it here: http://t.co/0phfG4V",fredalan
114,Look at this web site/page,Information source,#Joplin's citizen looter patrol.  http://twitpic.com/583zoa,TBrennfoerder
115,Look at this web site/page,Information source,"BREAKING #WEATHER: All damage has been surveyed at the tornado locations, and NWS concludes it was an EF3 tornÃ¢â‚¬Â¦ (cont) http://deck.ly/~suVT6",Geos_SNEweather
116,Look at this photo or these photos,Information source, @Flickr: Member photos show the effects of the monster tornado in #Joplin http://bit.ly/k2YU57,Halloj_Inger
117,Look at this web site/page,Information source,"Ultra-loud warning sirens of the type used in the United States' ""tornado alley"" are being mooted for... http://dlvr.it/TQ78t",TsunamiAttacks
118,Watch this TV channel (or: I am watching this channel),Information source, @ShawnRyanTV: Hey Guy on CNN w/Home Video of tornado aftermath: Next time put the camera down while frantically searching for missing ...,Andylanger
119,Look at this web site/page,Information source,@walterolson Man clearing tornado debris fined for tree trimming http://j.mp/kgfWVn/// Didya even read the entire article? @cspanwj,cspanSnark
120,Look at this web site/page,Information source, @txskywtchr: Here's a map of every county in Texas that is currently under a Burn Ban. Expect this list to grow. http://ow.ly/5ekuj # ...,2ndOfDouglas
121,Look at this web site/page,Information source, @ModernMom: Dog rescues another dog in #Joplin http://bit.ly/iHwff2,ashleypgh
122,Look at this web site/page,Information source,Geesh!  How long since the tornado?3 weeks??? @KrisKetz:  @koamnews: FEMA trailers arrive for tornado relief http://bit.ly/kv6DXp,DanHurst
123,Look at this video or these videos,Information source,Check this video out -- Stunning Water tornado blasts Australia coast. http://t.co/gIbUldt via @youtube,BestNewsVids
124,Look at this video or these videos,Information source,"Massachusetts Tornadoes Make for Popular YouTube Content As previously discussed, 2011 has been the Year of the Tornado, http://tiny.ly/BbgL",SplinternetMark
125,Look at this web site/page,Information source,#Obama tours twister-ravaged neighborhood in #Joplin  http://bre.ad/0cmin0 #news,JeffBreazile
126,Look at this web site/page,Information source,Web Extra: 11-Year-Old Tornado Survivor Speaks: A young survivor of the tornado that hit Franklin and Johnson co... http://bit.ly/iUA5F3,fayetteville_ar
127,Look at this web site/page,Information source,"MT @StJohnsHealth: Dr. Charles Ro, St. John's Regional Med. Ctr, is prepping for first surgery at the new... http://fb.me/11m8Y08AL #joplin",b_sorensen
128,Look at this web site/page,Information source,From inside the hospital inside the tornado that hit Joplin. - http://www.kevinmd.com/blog/2011/05/happened-hospital-joplin-mo-tornado.html,whensafetyfails
129,None of the above,Information source,National Weather Service: #Joplin storm was an EF4 with winds up to 198 mph #MOTornado http://pub.vitrue.com/PYi,41ActionNews
130,Look at this photo or these photos,Information source," @nytimes: 33 Striking photos of #tornado destruction in Joplin, Missouri: http://bit.ly/iu2a8O (via @in_focus)",BeFearless4Life
131,Look at this web site/page,Information source, @rob_sheridan: This is what happens when a tornado crosses a river. Holy shit. http://bit.ly/lSatyy - via @leviathant,Bryce3333
132,Look at this video or these videos,Information source,"Wow.....sunny, breezy, warm and less humid...blue skies thrown in at no extra charge! Wild tornado video at http://wjla.com/weather",DougHillABC7
133,Look at this photo or these photos,Information source, @BadAstronomer: Holy crap. Animation of weather sat images of #Joplin tornadic supercell exploding into existence. http://is.gd/36AwFV,Stompn_Tom
134,Look at this video or these videos,Information source," @CBSNews: Live now on CBSNews.com: Streaming video of Joplin MO memorial service for tornado victims, Obama to speak  http://bit.ly/9 ...",JEstebanTorres
135,Look at this photo or these photos,Information source, @twcMarkElliot: One of many images showing the force of an EF-5 Tornado: http://i.imgur.com/smF2z.jpg,Maven2379
136,Look at this web site/page,Information source,"Obama Offers Condolences, Encouragement to Joplin Tornado Victims | FoxNews.com | http://t.co/iCAwvJ9 |",JunJun_M_Cabuay
137,Look at this web site/page,Information source,The Springfield Tornado Path From Space. Thanks NASA - Rick Green | CT Confidential: http://t.co/IaQUR3o via @AddThis,Ivanroberson
138,Look at this web site/page,Information source,News - Greensboro_NC: Joplin tornado leaves thousands with no place to call home http://fb.me/X... http://nc.gs/iA8GEt #News #Greensboro,news_nc
139,Look at this video or these videos,Information source,KEPR Sports Director Remembers Tornado Threat While Living in Joplin: KEPR Action News Sports Director Morgan Vance... http://dlvr.it/T1G6S,tricitieswanews
140,Look at this video or these videos,Information source,Watch the Tornado in Springfield http://www.youtube.com/watch?v=qIKu2f1bXes,BoycottArms
141,None of the above,Information source,"Sending up prayers.  @MLBrown_writes: ""@BOSTON_FF_L29: Reports of another SPRINGFIELD Area Tornado Now!"" not cool, lots of family there.",JuliasBlues
142,Watch this TV channel (or: I am watching this channel),Information source," @cnnAM: Images from #Joplin, MO show extreme devastation after Sunday's tornado. Rescue, recovery efforts continue there. Watch #CNN  ...",killakc
143,Look at this video or these videos,Information source," @CTVSWO: No tornado in Hamilton or Caledonia, damage is consistent with a downburst, says Environment Canada. http://bit.ly/l9Jzvk",WaterlooWeather
144,Look at this web site/page,Information source,Mayor: 'We are in life-saving mode' in western #Massachusetts   http://bit.ly/mkHJml #Tornado,MatthewLiberty
145,Look at this web site/page,Information source,"Alabama Mayor Won't Lift Ban On FEMA Trailers, Despite Tornado Damage http://huff.to/kshk0D",fibergeneration
146,None of the above,Information source,@envy_ochoa kinda ' but today the entire sky was dark & there was a tornado like 15 minutes away from my town ! It got crazy lol,JayVsDemons
147,Look at this video or these videos,Information source,@PauleyP How freaking awesome is this dog? Mason the superdog! #noh8pets #tornado #Alabama  http://t.co/oYNjOkY,becsmog
148,None of the above,Information source,Turns out the Tornado sirens went off during the stream and @jwhittalglobal & @weaves87 had to head to the safety area!,BrentWGlobal
149,Look at this web site/page,Information source,who doesn't love a puppy surviving a tornado? http://bit.ly/iFN9CU my favorite story of the morning!,PRcgriffin
150,None of the above,Information source, @wxrisk: Dallas Love Field: all passengers and staff are in the basement of the terminal. (per weather channel) #txwx,sarakenny
151,Look at this web site/page,Information source, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj WOW!!,greatnfluence
152,Look at this video or these videos,Information source,"Watch the Joplin, Mo., memorial service for tornado victims: http://fxn.ws/2jlSSz",foxnewspolitics
153,Look at this web site/page,Information source,Absolutely shameful.  @calahpatty: Two weeks later Congress still has not passed #Joplin aid http://dlvr.it/V98Sm via @opticaldensity #MO,AnonyMissBadger
154,Look at this web site/page,Information source," @BreakingNews: Tornado touches down near Billings, MT; warning sirens sounding - Billings Gazette http://bit.ly/jz4iwI",SpiritRider1
155,Look at this web site/page,Information source,Tornado Warning Issued In Northern California - News Story - KTVU San Francisco http://t.co/MWnfZdX via @AddThis,Nataliegirl32
156,Look at this web site/page,Information source,"One week later, services trickle in for tornado victims - Minnesota Public Radio: KSTP.comOne week later, servic... http://bit.ly/llsC2b",_Minneapolis_NC
157,None of the above,Information source,A tornado touched down in California!!,retrohoe
158,Look at this video or these videos,Information source,"Stop! Too many hashtags  @cnnbrk: In #tornado-hit #Joplin, #Obama vows: We will be with you every step of the way http://on.cnn.com/mOuxdv",clindsey
159,Look at this web site/page,Information source, @springfieldNL: Crowds are lining the streets in support of #Joplin; an officer has confirmed tear gas was used on protesters - http: ...,kodi74
160,Look at this web site/page,Information source,"Storm shelter demand: Storm shelter sales are skyrocketing.In the days following the deadly tornado outbreak, lo... http://bit.ly/mxyN0o",OKCFOX
161,None of the above,Information source,"It look like they gone have a tornado,",Lance_DntDoIt
162,None of the above,Information source, @weatherchannel: Approaching the average YEARLY U.S. #tornado count....and May's not over yet!   http://wxch.nl/k8uA1q,KB3WTR
163,None of the above,Information source," @baresilver: My heart is breaking for #Joplin Missouri.  So many fatalities already, and the work hasn't even begun.  The town is des ...",crshelton98
164,Look at this web site/page,Information source, @karen_w_brown: What is the rotational energy of an average U.S. tornado? http://tinyurl.com/3p5yexu,erzobe
165,Look at this web site/page,Information source,"Severe weather: was it or wasn't it a tornado? - WAFB Channel 9, Baton Rouge, LA | http://fb.me/tgId25Dz",CajunUsa
166,Look at this web site/page,Information source,"Westboro Baptist Church Already Spreading Their Hate in Joplin, Missouri After Tornado: The Westboro Baptist Chu... http://bit.ly/m1hrsU",BungalowBillCW
167,Look at this web site/page,Information source, @BadAstronomer: Holy crap. Animation of weather sat images of #Joplin tornadic supercell exploding into existence. http://is.gd/36AwFV,nickiplum
168,Look at this video or these videos,Information source,"Videos are heartwrenching, help the pets and their families in #joplin http://dld.bz/abavz",iServiceHomesNE
169,Watch this TV channel (or: I am watching this channel),Information source,"reports on CNN on #Tornado coverage in MO, OK and TX is so nerve wrecking!!!! How horrible! Praying for your safety!",puentes
170,Look at this web site/page,Information source,"With the deadliest tornado season in decades, it's getting harder and harder to leave climate change out of the debate: http://bit.ly/lhrhYi",NRDC
171,Look at this video or these videos,Information source,VIDEO: Violent tornado caught on film: At least four people have died after tornadoes ripped through the US stat... http://bbc.in/lY8o9d,NathanLee94
172,Look at this web site/page,Information source,Students send cheer to tornado victims: Tornadoes have been sweeping cities and towns from New England t... http://bit.ly/jHNq85 #rinews,wpri_feed
173,Look at this web site/page,Information source, @fox25news: Dog rescued from tornado rubble http://dlvr.it/VB69x #fox25,ChuckGiuffrida
174,None of the above,Information source,It is now being reported that tornado was one mile at times and was on the ground for fourteen miles.  #Joplin #MDS,wilson_bruce
175,Look at this web site/page,Information source,Gallery: Barack Obama visits Joplin area devastated by tornado: President Barack Obama visits some of those whos... http://bit.ly/mL2XVI,yycnews
176,Look at this photo or these photos,Information source,"#PHOTOS: #US #tornado in #Joplin, #Missouri. http://tiny.ly/FztC",PROPHECYandNEWS
177,Look at this video or these videos,Information source,OH MY GOD!  THIS IS TOO MUCH TO SEE!!!! http://www.kfor.com/news/livestreaming/  #TORNADO,caa1000
178,Look at this web site/page,Information source,geez...footage of yesterdays tornado in Oklahoma City http://t.co/Qp03KGS,Karina_Marlene
179,Look at this photo or these photos,Information source,"Images Of Oklahoma Storms, Tornado Damage http://dlvr.it/SzVK2",wbaltv11
180,Look at this web site/page,Information source,XTRA Lease Birmingham Re-opens Following Tornado Damage  http://sns.mx/6Xd8y2,BirminghamUKPro
181,None of the above,Information source,TORNADO WARNING: Champaign; P... (Illinois)  Expires: 05/25/2011 07:30PM (CDT) http://bit.ly/j1W9ko #tornado #ilwx,twister_tracker
182,Look at this video or these videos,Information source,Amazing --&gt; Building a Mobile Hospital on the Campus of St. John's Mercy Hospital in #Joplin after Tornado - http://youtu.be/pF6x6jl-kF8,b_sorensen
183,Look at this web site/page,Information source, @Crackerville: Wow #Joplin  @eturnl2009 @Crackerville  http://lockerz.com/s/107483101,eturnl2009
184,None of the above,Information source," @SidneyThe4th: #BreakingNews DFW Airport pulling passengers off planes, advising people to stay away from windows as tornado bears do ...",nicholascotoia
185,Look at this photo or these photos,Information source, @IBDeditorials: Ramirez cartoon: Financial tornado http://ht.ly/59RCT,ringo44
