,type_of_advice_or_caution,category,text_no_rt,type,user
56,Other,Informative (Indirect),5:15pm Ready to crest North Cove marina lower wall/pier. 4+ft to Esplanade #BPC #NYC @AP @BrianLehrer @Gawker #Sandy,Caution and advice,dingbat
57,A hurricane warning has been issued or has been lifted,Informative (Indirect),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour. #Sandy,Caution and advice,DITZABELLA
58,Other,Informative (Indirect),Updated Website! Storm Sandy Schedule Update - We've been praying that you are all safe in the aftermath of this sto... http://t.co/21Kq3Dkx,Caution and advice,DixHillsChurch
59,Other,Informative (Indirect),Several Bridges Set to Close Because of #HurricaneSandy #Sandy #NYC http://t.co/3BnewQxJ,Caution and advice,DNAinfo
60,Other,Informative (Indirect),Mayor Bloomberg Updates NYC On #Sandy http://t.co/45AjuROW LIVESTREAM NOW,Caution and advice,DNDailyPolitics
61,A hurricane sighting has been reported,Informative (Indirect),Menacing clouds loom over #NYC today in advance of Hurricane #Sandy. #Frankenstorm http://t.co/Blm4kUzw,Caution and advice,EMaloneG
62,Other,Informative (Indirect),it will take a day or two to recover...[some things] into the weekend--@mikeBloomberg #sandy #nyc,Caution and advice,faiza_n_ali
63,Other,Informative (Indirect),Storm will keep financial markets closed Tuesday: NEW YORKÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â®Major U.S. stock and bond markets will be closed beca... http://t.co/AniU2e8q,Caution and advice,fanlacrosse
64,Other,Informative (Indirect),UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,Caution and advice,fdilella
65,Other,Informative (Indirect),JFK Newark airports reopen on limited operational schedule after #Sandy http://t.co/lzW7vRB2 &gt; LaGuardia still closed #NYC,Caution and advice,Global_Montreal
66,Other,Informative (Indirect),Wow the satalite images and shots coming out of NYC are really scary. #StaySafe #Sandy,Caution and advice,Halled
67,A shelter is open or available,Informative (Indirect),Mayor Bloomberg: The 76 shelters we opened will remain open today. #Sandy #NYC,Caution and advice,HeiddiZ
68,A hurricane warning has been issued or has been lifted,Informative (Indirect),9 states along Mid-Atlantic coast declare state of emergency-info&updates here + evac zone maps/guides for #NYC http://t.co/xuL3kt1a #Sandy,Caution and advice,HotmaMejia
69,Other,Informative (Indirect),#Sandy #Updates: Over 13500 flight cancelled and counting due to Hurricane Sandy.. #NYC #NJ http://t.co/yUClpuNt,Caution and advice,JasminGranado
70,A shelter is open or available,Informative (Indirect),If in immediate need of shelter please visit http://t.co/Pgxt83by to locate your nearest options. #shelter #Sandy,Caution and advice,jmgreenwell
71,Other,Informative (Indirect),Empty streets of Soho NYC by @xhank. http://t.co/pQxgRVG1 #sandy,Caution and advice,johndavisonx
72,Other,Informative (Indirect),...FLOODING POSSIBLE FROM REMNANTS OF HURRICANE SANDY... .THE REMNANTS OF HURRICANE SANDY WILL LINGER OVER CENTRAL PENN http://t.co/NDA9XSgt,Caution and advice,Johnstown_WX
73,Other,Informative (Indirect),BREAKING: At 7 PM all four East River bridges will shut down: Brooklyn Manhattan Williamsburg and Ed Koch Queensboro Bridges. #Sandy,Caution and advice,Jsurvivor_nyc
74,A hurricane sighting has been reported,Informative (Indirect),#JFK airport in #NYC now gusting to 71 mph - the highest observed gusts so far in NYC during #Sandy.,Caution and advice,JusAire
75,Other,Informative (Indirect),Gov. Cuomo has directed the Port Authority and the MTA to close NYC bridges at 7:00 PM http://t.co/ViLRqyQU #Sandy,Caution and advice,katew
76,Other,Informative (Indirect),"ConEd CEO on #Sandy: ""There is a significant chance of flooding throughout NYC""",Caution and advice,KCMichelle
77,Other,Informative (Indirect),Biggest outage clusters get repaired first. Smaller clusters to follow. #Westchester #NYC #Sandy #ConEdison,Caution and advice,KelleyChubb
78,A hurricane warning has been issued or has been lifted,Informative (Indirect),RT @achorowitz: 630-1030 PM will be the worst of the storm in NYC says Bloomberg #nyc #sandy,Caution and advice,Kenosen2
79,Other,Informative (Indirect),NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,Caution and advice,kerstinshamberg
80,A hurricane warning has been issued or has been lifted,Informative (Indirect),#IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/TQSYfNah,Caution and advice,KidDuckie
81,Other,Informative (Indirect),Alternate side parking and meter regulations are suspended citywide tomorrow. #Sandy,Caution and advice,lauritacruz47
82,A hurricane warning has been issued or has been lifted,Informative (Indirect),The most severe part of the storm is now beginning-Mayor Bloomberg. NYC #Sandy,Caution and advice,longfellow520
83,A hurricane warning has been issued or has been lifted,Informative (Indirect),On the news it says Cumberland is going to get it hard tonight by Sandy!!,Caution and advice,LovinMyMistakes
84,Other,Informative (Indirect),"Mayor Bloomberg: ""Please use 311 for downed trees and flooding not 911."" #Sandy #NYC",Caution and advice,MadameRamotswe
85,Other,Informative (Indirect),New York's #JFK and #Newark Liberty airports reopen after two days of cancellations. La Guardia remains closed http://t.co/3yLWVeam #Sandy,Caution and advice,MarcClimaco
86,Other,Informative (Indirect),NYC Mayor Bloomberg is offering an update on the city's response to #Sandy. You can tune in here: http://t.co/QWZpbEhv,Caution and advice,MarketWatch
87,Other,Informative (Indirect),All bridges tunnels in NYC closed except for Lincoln Tunnel. #sandyonfox http://t.co/UQ6QYH09,Caution and advice,MyFoxNY
88,Other,Informative (Indirect),BLIZZARD WARNINGS IN WEST VIRGINIA ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â® WHILE HURRICANE SANDY THREATENS: http://t.co/suAeqpui,Caution and advice,normsantos
89,Other,Informative (Indirect),Delta has what seems like a very optimistic plan to resume some NYC flights on Tuesday: http://t.co/A2mjbStn,Caution and advice,NYCAviation
90,Other,Informative (Indirect),In sum: http://t.co/jJUy1y8F Stay inside try to relax don't go being macho and running into the water. #Sandy #MayorBloomberg,Caution and advice,nycTrend
91,Other,Informative (Indirect),Limited train service resuming in NYC after superstorm Sandy - CBS News: National GeographicLimited tra... http://t.co/t1j1hPKO #newyork,Caution and advice,NYNewYorkCity
92,A hurricane sighting has been reported,Informative (Indirect),Sandy approaching northeast U.S. http://t.co/cDuyLxA2,Caution and advice,optimismnow2
93,Other,Informative (Indirect),MT @ZagatNYC: NYC restos playing it by ear during #Sandy. Props to @EaterNY on their list of what's open ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â® http://t.co/tAbiGqSo @kale1919,Caution and advice,PaulBell55
94,Other,Informative (Indirect),#RedCross Hurricane app can help you recover from #Sandy. Go to the Prepare tab then hit ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â¬AfterÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â. http://t.co/fYMpaDYc,Caution and advice,PiedmontHousing
95,A shelter is open or available,Informative (Indirect),If you need a safe place to stay shelter info avail. in #Hurricane app http://t.co/4qNCbnTW & http://t.co/gtQEoxjS. #Sandy,Caution and advice,PoppenReport
96,A hurricane warning has been issued or has been lifted,Informative (Indirect),#IFWT Experts Say 8 O'Clock Is When Hurricane Sandy Unleashes Her Fury On NYC - http://t.co/jfOwCb5o,Caution and advice,RealMGillette
97,A hurricane sighting has been reported,Informative (Indirect),The latest as Hurricane Sandy hits landfall. Rolling news coverage @SkyNews throughout the night,Caution and advice,RNorthumberland
98,Other,Informative (Indirect),RT @weatherchannel: @NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Must close by 7pm. #Sandy,Caution and advice,rumsoncds
99,A shelter is open or available,Informative (Indirect),ALERT: List of NJ PA and DE shelters - including those that are pet friendly http://t.co/K3T7t91E #sandy #sandypets,Caution and advice,SallyMos
100,A hurricane warning has been issued or has been lifted,Informative (Indirect),#Sandy is coming and it is full of anger! #Storm #NYC http://t.co/N5ruP5z8,Caution and advice,satantoine
101,Other,Informative (Indirect),the time for evacuation is now over - mike bloomberg. | #nyc #sandy,Caution and advice,shaunrandol
102,Other,Informative (Indirect),Christie postpones Halloween celebrations in New Jersey - USA TODAY: ABC NewsChristie postpones Halloween celebr... http://t.co/WEF3U3PL,Caution and advice,ShowCars1
103,Other,Informative (Indirect),RT @BudgetTravel: Stranded because of #Sandy? Here's what you need to know--#airline by airline http://t.co/REmduOnv #Frankenstorm,Caution and advice,SKSMediaCanada
104,Other,Informative (Indirect),RT @UN: UNHQ in NYC will be also be closed on Tuesday due to Hurricane #Sandy. More info here: http://t.co/0p90eZIa,Caution and advice,sncyf
105,A hurricane warning has been issued or has been lifted,Informative (Indirect),Any time over the next hour It should be here #sandy #NYC,Caution and advice,Sorcha_Ellie
106,Other,Informative (Indirect),RT @thematthewkeys: NYC Mayor Bloomberg: ConEd may shut down power in southern Brooklyn and lower Manhattan. #Sandy,Caution and advice,StephTweet
107,Other,Informative (Indirect),Public transit in NYC will be closed tomorrow morning and remain closed throughout the day. http://t.co/WWmlZvHe #Sandy,Caution and advice,Stevie_Bo
108,Other,Informative (Indirect),NYC Mayor Bloomberg: City employees should come to work provided they can do so safely. #Sandy,Caution and advice,SupermanHotMale
109,Other,Informative (Indirect),Prayers!! RT @jacquereid: RT @ABC: New York's Bellevue Hospital Set to Evacuate After Sandy http://t.co/gZUyn3uQ,Caution and advice,Syreta
110,Other,Informative (Indirect),All federal government offices in and around Washington will be closed Tuesday. #HurricaneSandy http://t.co/XEYNBgW0,Caution and advice,UUgeh
111,Other,Informative (Indirect),RT @NYTMetro: Limited commuter rail service to resume in New York at 2 p.m. Wednesday http://t.co/oi2lnGTm,Caution and advice,VivaLaSlim
112,A hurricane warning has been issued or has been lifted,Informative (Indirect),RT @NYMag: Mayor Bloomberg: The most severe part of the hurricane is now beginning. #NYC still v. much within danger zone. #Sandy,Caution and advice,wlynnae
113,Other,Informative (Indirect),LATEST | Airports and stock exchange reopen; NJ devastated: Two major airports reopened and the floor of the New... http://t.co/GefqGlfb,Caution and advice,TheSunNews
